size,repetition,time
10,0,1060577
10,1,789941
10,2,800387
10,3,790077
10,4,819019
10,5,784371
10,6,797068
10,7,781951
10,8,769458
10,9,787282
10,10,776206
10,11,832075
10,12,775063
10,13,800661
10,14,797656
10,15,801456
10,16,770281
10,17,787532
10,18,802158
10,19,774697
10,20,786009
10,21,781993
10,22,785612
10,23,783046
10,24,774407
10,25,809219
10,26,785271
10,27,789157
10,28,780920
10,29,796484
10,30,790453
10,31,795162
10,32,779075
10,33,763819
10,34,766284
10,35,790754
10,36,1640327
10,37,806966
10,38,969530
10,39,823260
10,40,780691
10,41,785169
10,42,863934
10,43,795342
10,44,815613
10,45,851182
10,46,911117
10,47,784895
10,48,804984
10,49,831372
10,50,781273
10,51,784867
10,52,780531
10,53,783118
10,54,785984
10,55,796376
10,56,796788
10,57,829848
10,58,790209
10,59,819497
10,60,789413
10,61,800572
10,62,787561
10,63,795176
10,64,800497
10,65,782024
10,66,788341
10,67,824379
10,68,788637
10,69,870108
10,70,782985
10,71,797791
10,72,789422
10,73,804436
10,74,801876
10,75,793141
10,76,804792
10,77,797019
10,78,806434
10,79,793600
10,80,806071
10,81,792613
10,82,798641
10,83,814441
10,84,798015
10,85,786472
10,86,789127
10,87,842475
10,88,845873
10,89,803411
10,90,795401
10,91,790211
10,92,795531
10,93,806358
10,94,806299
10,95,789499
10,96,788334
10,97,788391
10,98,791542
10,99,786589
1024,0,817152
1024,1,800892
1024,2,790234
1024,3,785192
1024,4,807112
1024,5,812913
1024,6,833624
1024,7,827690
1024,8,830824
1024,9,842670
1024,10,838679
1024,11,834375
1024,12,845856
1024,13,847821
1024,14,843916
1024,15,842833
1024,16,846136
1024,17,847526
1024,18,840094
1024,19,1032853
1024,20,840235
1024,21,836930
1024,22,846895
1024,23,878587
1024,24,846556
1024,25,844986
1024,26,851900
1024,27,839158
1024,28,854878
1024,29,855480
1024,30,835830
1024,31,821313
1024,32,823311
1024,33,842022
1024,34,819787
1024,35,830335
1024,36,830494
1024,37,837878
1024,38,862766
1024,39,830815
1024,40,867446
1024,41,853289
1024,42,861950
1024,43,856084
1024,44,860899
1024,45,833429
1024,46,873150
1024,47,854319
1024,48,844975
1024,49,828802
1024,50,826696
1024,51,830501
1024,52,823016
1024,53,847097
1024,54,820870
1024,55,823658
1024,56,822249
1024,57,823208
1024,58,849791
1024,59,840338
1024,60,818241
1024,61,841665
1024,62,807544
1024,63,805946
1024,64,842114
1024,65,840820
1024,66,855161
1024,67,872789
1024,68,829078
1024,69,821419
1024,70,835584
1024,71,852478
1024,72,804458
1024,73,806965
1024,74,801508
1024,75,803080
1024,76,819715
1024,77,827050
1024,78,820395
1024,79,818824
1024,80,835957
1024,81,820412
1024,82,1014713
1024,83,839683
1024,84,838680
