size, repetition, time
1048576,0,6217914
1048576,1,4722393
1048576,2,5478151
1048576,3,5354529
1048576,4,5637747
1048576,5,5330725
1048576,6,5205388
1048576,7,5685543
1048576,8,5121676
1048576,9,4904898
1048576,10,4712509
1048576,11,4940778
1048576,12,4508813
1048576,13,5042275
1048576,14,5395431
1048576,15,4712282
1048576,16,5058643
1048576,17,4589402
1048576,18,5111974
1048576,19,5242685
1048576,20,5217819
1048576,21,5174246
1048576,22,5027284
1048576,23,5145132
1048576,24,5136707
1048576,25,5235644
1048576,26,5044572
1048576,27,4787349
1048576,28,4744280
1048576,29,5370062
1048576,30,4411945
1048576,31,4559835
1048576,32,5196130
1048576,33,5140898
1048576,34,5063683
1048576,35,5183728
1048576,36,5277194
1048576,37,5211001
1048576,38,5048661
1048576,39,4708788
1048576,40,4555243
1048576,41,4786269
1048576,42,5330719
1048576,43,5365736
1048576,44,4849296
1048576,45,4961410
1048576,46,4891650
1048576,47,4954081
1048576,48,5161600
1048576,49,7891575
1048576,50,5045725
1048576,51,5206586
1048576,52,5142664
1048576,53,5068903
1048576,54,5169946
1048576,55,5110153
1048576,56,4641032
1048576,57,4605771
1048576,58,5048127
1048576,59,5148874
1048576,60,5080864
1048576,61,4651762
1048576,62,4959233
1048576,63,4896367
1048576,64,5485325
1048576,65,5554030
1048576,66,5031794
1048576,67,5007954
1048576,68,4590137
1048576,69,5191885
1048576,70,5217714
1048576,71,5296501
1048576,72,4735266
1048576,73,5052992
1048576,74,4659252
1048576,75,4830345
1048576,76,4668972
1048576,77,4737246
1048576,78,5202120
1048576,79,5061612
1048576,80,5343722
1048576,81,5254761
1048576,82,4962040
1048576,83,5130152
1048576,84,5650616
1048576,85,5226487
1048576,86,5102713
1048576,87,5452106
1048576,88,5198657
1048576,89,5002728
1048576,90,5187846
1048576,91,4931651
1048576,92,5973493
1048576,93,5468092
1048576,94,5207080
1048576,95,5138046
1048576,96,4523840
1048576,97,5001434
1048576,98,5104789
1048576,99,5553242
5242880,0,26544561
5242880,1,20737797
5242880,2,21714973
5242880,3,23331265
5242880,4,21242039
5242880,5,21576132
5242880,6,21049841
5242880,7,21495893
5242880,8,21996327
5242880,9,21499528
5242880,10,21050690
5242880,11,20982181
5242880,12,21753690
5242880,13,23898804
5242880,14,24087172
5242880,15,21451071
5242880,16,22736775
5242880,17,24023465
5242880,18,23365220
5242880,19,25001404
5242880,20,23218208
5242880,21,25354321
5242880,22,21849930
5242880,23,21869700
5242880,24,21793847
5242880,25,22566943
5242880,26,20503540
5242880,27,20713856
5242880,28,20190525
5242880,29,24305826
5242880,30,23337792
5242880,31,22017936
5242880,32,22299486
5242880,33,20359463
5242880,34,21845422
5242880,35,22826371
5242880,36,22834189
5242880,37,20493240
5242880,38,24215031
5242880,39,22238956
5242880,40,20953000
5242880,41,23064614
5242880,42,21187030
5242880,43,21633948
5242880,44,22243312
5242880,45,22691809
5242880,46,21245293
5242880,47,19595348
5242880,48,22000476
5242880,49,23997041
5242880,50,22154560
5242880,51,20402664
5242880,52,22639523
5242880,53,23285340
5242880,54,23082793
5242880,55,24009597
5242880,56,21752754
5242880,57,21449784
5242880,58,22751473
5242880,59,22171197
5242880,60,20628171
5242880,61,22379471
5242880,62,22382249
5242880,63,26753974
5242880,64,25553308
5242880,65,22438088
5242880,66,21470077
5242880,67,21219039
5242880,68,20946729
5242880,69,23622373
5242880,70,24093601
5242880,71,20893099
5242880,72,22135788
5242880,73,22059713
5242880,74,20703484
5242880,75,20399104
5242880,76,21529790
5242880,77,22514246
5242880,78,19589556
5242880,79,21676639
5242880,80,20571541
5242880,81,21484585
5242880,82,23225375
5242880,83,23063434
5242880,84,24103497
5242880,85,22557395
5242880,86,22334698
5242880,87,24144830
5242880,88,21892782
5242880,89,20238641
5242880,90,22568393
5242880,91,23121025
5242880,92,21246134
5242880,93,21000156
5242880,94,20034823
5242880,95,20984711
5242880,96,21847772
5242880,97,21297765
5242880,98,19421903
5242880,99,22546282
