type,input,repetition,input-size,output-size,time,download-time,compile-time
compile,full,1,55,41654,6162439086,0.711368,5.27038
compile,full,2,55,41654,5867493454,0.405932,5.26418
compile,full,3,55,41654,5902552294,0.470547,5.25573
compile,full,4,55,41654,5782853200,0.398208,5.24846
compile,full,5,55,41654,5883100110,0.429708,5.29506
compile,full,6,55,41654,6000707923,0.449084,5.33852
compile,full,7,55,41654,5992038580,0.490414,5.41884
compile,full,8,55,41654,6039317628,0.385609,5.44202
compile,full,9,55,41654,5843988015,0.462789,5.19082
compile,full,10,55,41654,5733280958,0.434338,5.20447
compile,full,11,55,41652,5829313680,0.463941,5.2068
compile,full,12,55,41654,6051402792,0.464404,5.40643
compile,full,13,55,41653,6152591163,0.479699,5.47319
compile,full,14,55,41654,5963391039,0.439275,5.2794
compile,full,15,55,41654,6047208420,0.569429,5.3045
compile,full,16,55,41653,5940565793,0.49821,5.27005
compile,full,17,55,41654,5814878854,0.444334,5.20718
compile,full,18,55,41654,5900910280,0.481891,5.24245
compile,full,19,55,41654,5836260272,0.484453,5.25485
compile,full,20,55,41654,5792633441,0.502224,5.21251
compile,full,21,55,41654,6081048400,0.532353,5.39343
compile,full,22,55,41654,5930916151,0.458111,5.33305
compile,full,23,55,41654,6079155396,0.526879,5.29685
compile,full,24,55,41653,6076787364,0.578193,5.35451
compile,full,25,55,41654,5826122533,0.377226,5.23309
compile,full,26,55,41654,5820999768,0.415453,5.2362
compile,full,27,55,41654,5829722940,0.508115,5.2397
compile,full,28,55,41654,5833592416,0.406104,5.27001
compile,full,29,55,41654,6506754596,0.501224,5.79522
compile,full,30,55,41654,6072681960,0.505725,5.44352
compile,full,31,55,41654,5895990019,0.431905,5.31192
compile,full,32,55,41654,5998050934,0.457425,5.35195
compile,full,33,55,41654,5891385326,0.483415,5.25061
compile,full,34,55,41654,5918137845,0.466051,5.23926
compile,full,35,55,41652,5849764941,0.4857,5.24357
compile,full,36,55,41654,5975501089,0.492083,5.29415
compile,full,37,55,41654,5866043925,0.415822,5.32281
compile,full,38,55,41654,5938996831,0.424955,5.35441
compile,full,39,55,41654,6262493228,0.495758,5.68076
compile,full,40,55,41654,5952020993,0.516019,5.29814
compile,full,41,55,41654,6133405372,0.486486,5.46472
compile,full,42,55,41654,6485901216,0.480016,5.88112
compile,full,43,55,41654,5947459673,0.516119,5.29939
compile,full,44,55,41654,6300429093,0.453495,5.68025
compile,full,45,55,41654,6014318273,0.434307,5.35325
compile,full,46,55,41654,6430928560,0.367485,5.98792
compile,full,47,55,41654,5995240742,0.383281,5.51734
compile,full,48,55,41654,5974583146,0.481738,5.38345
compile,full,49,55,41653,6113062043,0.447208,5.49684
compile,full,50,55,41654,5950244695,0.552443,5.25583
compile,small-update,1,56,318,401447154,0.079256,0.177207
compile,small-update,2,56,318,383067293,0.058064,0.183256
compile,small-update,3,56,318,368576500,0.059977,0.175764
compile,small-update,4,56,317,378088230,0.059279,0.18676
compile,small-update,5,56,317,503155497,0.061103,0.17495
compile,small-update,6,56,318,429171521,0.126316,0.180122
compile,small-update,7,56,318,428557538,0.064942,0.169876
compile,small-update,8,56,318,398951760,0.064947,0.182941
compile,small-update,9,56,318,477758941,0.120533,0.171237
compile,small-update,10,56,318,317249245,0.070856,0.181179
compile,small-update,11,56,317,397999434,0.079142,0.17905
compile,small-update,12,56,318,537884141,0.164544,0.180044
compile,small-update,13,56,316,388135344,0.073579,0.1811
compile,small-update,14,56,318,431473400,0.069606,0.184149
compile,small-update,15,56,318,454540521,0.124141,0.183271
compile,small-update,16,56,317,438731307,0.074197,0.17304
compile,small-update,17,56,318,465119278,0.059775,0.181412
compile,small-update,18,56,317,345994254,0.093167,0.17478
compile,small-update,19,56,318,393271678,0.070586,0.169455
compile,small-update,20,56,318,446639580,0.067532,0.173697
compile,small-update,21,56,318,399393984,0.061755,0.179319
compile,small-update,22,56,318,343903247,0.099918,0.170574
compile,small-update,23,56,318,405069889,0.065108,0.179576
compile,small-update,24,56,318,380033272,0.063173,0.179093
compile,small-update,25,56,318,408735259,0.088044,0.175895
compile,small-update,26,56,318,335646015,0.062052,0.176912
compile,small-update,27,56,318,508838489,0.084502,0.173106
compile,small-update,28,56,318,452104878,0.067145,0.175527
compile,small-update,29,56,317,463825613,0.070264,0.17328
compile,small-update,30,56,318,441479025,0.064726,0.187772
compile,small-update,31,56,318,414051249,0.092556,0.174923
compile,small-update,32,56,317,424086484,0.075318,0.17262
compile,small-update,33,56,318,417283405,0.068013,0.183754
compile,small-update,34,56,318,321091372,0.076268,0.181471
compile,small-update,35,56,318,429870971,0.068919,0.174234
compile,small-update,36,56,318,506006678,0.113787,0.179752
compile,small-update,37,56,318,493331369,0.103078,0.188273
compile,small-update,38,56,318,396725763,0.061323,0.186517
compile,small-update,39,56,318,473857809,0.054129,0.200597
compile,small-update,40,56,318,426887385,0.097093,0.176476
compile,small-update,41,56,318,388766443,0.059569,0.174074
compile,small-update,42,56,318,459605548,0.082375,0.205561
compile,small-update,43,56,318,519829167,0.121376,0.188114
compile,small-update,44,56,317,399278756,0.059976,0.18613
compile,small-update,45,56,318,426338097,0.109121,0.175255
compile,small-update,46,56,318,450374677,0.091914,0.186147
compile,small-update,47,56,318,376674363,0.072183,0.186423
compile,small-update,48,56,317,487157270,0.09745,0.182221
compile,small-update,49,56,318,332860353,0.058958,0.177604
compile,small-update,50,56,318,400771900,0.063904,0.186768
compile,large-update,1,56,612,401304302,0.139234,0.13538
compile,large-update,2,56,613,410332495,0.120745,0.153814
compile,large-update,3,56,612,375367671,0.11278,0.145957
compile,large-update,4,56,613,399737960,0.133654,0.133293
compile,large-update,5,56,613,360159651,0.149511,0.146065
compile,large-update,6,56,613,452338586,0.118811,0.138946
compile,large-update,7,56,613,454419234,0.145144,0.193194
compile,large-update,8,56,612,437767518,0.156363,0.14404
compile,large-update,9,56,613,473270643,0.123316,0.146696
compile,large-update,10,56,612,471447185,0.171028,0.14615
compile,large-update,11,56,612,395409635,0.12257,0.140111
compile,large-update,12,56,613,383291770,0.121471,0.144528
compile,large-update,13,56,613,437643012,0.148766,0.145867
compile,large-update,14,56,613,494074290,0.191168,0.142058
compile,large-update,15,56,612,402041292,0.181859,0.13729
compile,large-update,16,56,613,497647759,0.218827,0.139349
