type,input,repetition,input-size,output-size,time
update-file,secs/acks.tex,1,781,42,1493073
update-file,secs/acks.tex,2,781,42,1474437
update-file,secs/acks.tex,3,781,42,2375760
update-file,secs/acks.tex,4,781,42,1686210
update-file,secs/acks.tex,5,781,42,1369557
update-file,secs/acks.tex,6,781,42,1502354
update-file,secs/acks.tex,7,781,42,1489726
update-file,secs/acks.tex,8,781,42,1376642
update-file,secs/acks.tex,9,781,42,1546627
update-file,secs/acks.tex,10,781,42,1564930
update-file,secs/acks.tex,11,781,42,1535606
update-file,secs/acks.tex,12,781,42,1502034
update-file,secs/acks.tex,13,781,42,1501910
update-file,secs/acks.tex,14,781,42,1487274
update-file,secs/acks.tex,15,781,42,1481837
update-file,secs/acks.tex,16,781,42,1425622
update-file,secs/acks.tex,17,781,42,1340531
update-file,secs/acks.tex,18,781,42,1407861
update-file,secs/acks.tex,19,781,42,1488103
update-file,secs/acks.tex,20,781,42,1474508
update-file,secs/acks.tex,21,781,42,1334307
update-file,secs/acks.tex,22,781,42,1432426
update-file,secs/acks.tex,23,781,42,1648344
update-file,secs/acks.tex,24,781,42,1395581
update-file,secs/acks.tex,25,781,42,1446471
update-file,secs/acks.tex,26,781,42,1478998
update-file,secs/acks.tex,27,781,42,1486893
update-file,secs/acks.tex,28,781,42,1473529
update-file,secs/acks.tex,29,781,42,1439996
update-file,secs/acks.tex,30,781,42,1455377
update-file,secs/acks.tex,31,781,42,1533578
update-file,secs/acks.tex,32,781,42,1456888
update-file,secs/acks.tex,33,781,42,1522275
update-file,secs/acks.tex,34,781,42,2671323
update-file,secs/acks.tex,35,781,42,1546754
update-file,secs/acks.tex,36,781,42,1652082
update-file,secs/acks.tex,37,781,42,1492018
update-file,secs/acks.tex,38,781,42,1607881
update-file,secs/acks.tex,39,781,42,1474235
update-file,secs/acks.tex,40,781,42,1513953
update-file,secs/acks.tex,41,781,42,1608004
update-file,secs/acks.tex,42,781,42,1498419
update-file,secs/acks.tex,43,781,42,1561947
update-file,secs/acks.tex,44,781,42,1487840
update-file,secs/acks.tex,45,781,42,1540567
update-file,secs/acks.tex,46,781,42,1905645
update-file,secs/acks.tex,47,781,42,1485777
update-file,secs/acks.tex,48,781,42,1529391
update-file,secs/acks.tex,49,781,42,1543908
update-file,secs/acks.tex,50,781,42,1524759
update-file,secs/multi.tex,1,1217,43,1576039
update-file,secs/multi.tex,2,1217,43,1440812
update-file,secs/multi.tex,3,1217,43,1448993
update-file,secs/multi.tex,4,1217,43,1635475
update-file,secs/multi.tex,5,1217,43,2993679
update-file,secs/multi.tex,6,1217,43,1885704
update-file,secs/multi.tex,7,1217,43,1433314
update-file,secs/multi.tex,8,1217,43,1496474
update-file,secs/multi.tex,9,1217,43,1645141
update-file,secs/multi.tex,10,1217,43,1526076
update-file,secs/multi.tex,11,1217,43,1524539
update-file,secs/multi.tex,12,1217,43,1496947
update-file,secs/multi.tex,13,1217,43,1732915
update-file,secs/multi.tex,14,1217,43,1409382
update-file,secs/multi.tex,15,1217,43,1488425
update-file,secs/multi.tex,16,1217,43,1440045
update-file,secs/multi.tex,17,1217,43,1484664
update-file,secs/multi.tex,18,1217,43,1474209
update-file,secs/multi.tex,19,1217,43,2698151
update-file,secs/multi.tex,20,1217,43,1519024
update-file,secs/multi.tex,21,1217,43,1492831
update-file,secs/multi.tex,22,1217,43,1556036
update-file,secs/multi.tex,23,1217,43,1547278
update-file,secs/multi.tex,24,1217,43,1585797
update-file,secs/multi.tex,25,1217,43,1783521
update-file,secs/multi.tex,26,1217,43,1619760
update-file,secs/multi.tex,27,1217,43,1629128
update-file,secs/multi.tex,28,1217,43,1457228
update-file,secs/multi.tex,29,1217,43,1521054
update-file,secs/multi.tex,30,1217,43,1644669
update-file,secs/multi.tex,31,1217,43,2739981
update-file,secs/multi.tex,32,1217,43,1648046
update-file,secs/multi.tex,33,1217,43,1928344
update-file,secs/multi.tex,34,1217,43,2372983
update-file,secs/multi.tex,35,1217,43,2542353
update-file,secs/multi.tex,36,1217,43,2743152
update-file,secs/multi.tex,37,1217,43,2434783
update-file,secs/multi.tex,38,1217,43,1613982
update-file,secs/multi.tex,39,1217,43,1625012
update-file,secs/multi.tex,40,1217,43,1522320
update-file,secs/multi.tex,41,1217,43,1772740
update-file,secs/multi.tex,42,1217,43,1607255
update-file,secs/multi.tex,43,1217,43,2509523
update-file,secs/multi.tex,44,1217,43,1736821
update-file,secs/multi.tex,45,1217,43,1520319
update-file,secs/multi.tex,46,1217,43,1475588
update-file,secs/multi.tex,47,1217,43,1519094
update-file,secs/multi.tex,48,1217,43,1460183
update-file,secs/multi.tex,49,1217,43,1505986
update-file,secs/multi.tex,50,1217,43,1623495
update-file,secs/core.tex,1,12157,42,1695615
update-file,secs/core.tex,2,12157,42,1615745
update-file,secs/core.tex,3,12157,42,1675605
update-file,secs/core.tex,4,12157,42,2849914
update-file,secs/core.tex,5,12157,42,1694015
update-file,secs/core.tex,6,12157,42,1714006
update-file,secs/core.tex,7,12157,42,1885246
update-file,secs/core.tex,8,12157,42,1688421
update-file,secs/core.tex,9,12157,42,1637408
update-file,secs/core.tex,10,12157,42,1621776
update-file,secs/core.tex,11,12157,42,1868487
update-file,secs/core.tex,12,12157,42,1804907
update-file,secs/core.tex,13,12157,42,1600373
update-file,secs/core.tex,14,12157,42,1716514
update-file,secs/core.tex,15,12157,42,1665103
update-file,secs/core.tex,16,12157,42,2771536
update-file,secs/core.tex,17,12157,42,1751541
update-file,secs/core.tex,18,12157,42,1593004
update-file,secs/core.tex,19,12157,42,1638017
update-file,secs/core.tex,20,12157,42,1638421
update-file,secs/core.tex,21,12157,42,1634732
update-file,secs/core.tex,22,12157,42,2496386
update-file,secs/core.tex,23,12157,42,1693278
update-file,secs/core.tex,24,12157,42,1609115
update-file,secs/core.tex,25,12157,42,1639202
update-file,secs/core.tex,26,12157,42,1566045
update-file,secs/core.tex,27,12157,42,1648897
update-file,secs/core.tex,28,12157,42,1675208
update-file,secs/core.tex,29,12157,42,1578519
update-file,secs/core.tex,30,12157,42,1650861
update-file,secs/core.tex,31,12157,42,1807937
update-file,secs/core.tex,32,12157,42,3049900
update-file,secs/core.tex,33,12157,42,2071675
update-file,secs/core.tex,34,12157,42,1706897
update-file,secs/core.tex,35,12157,42,1760005
update-file,secs/core.tex,36,12157,42,1681660
update-file,secs/core.tex,37,12157,42,1804552
update-file,secs/core.tex,38,12157,42,1720303
update-file,secs/core.tex,39,12157,42,1641166
update-file,secs/core.tex,40,12157,42,2563431
update-file,secs/core.tex,41,12157,42,1642468
update-file,secs/core.tex,42,12157,42,1644022
update-file,secs/core.tex,43,12157,42,2528096
update-file,secs/core.tex,44,12157,42,1842256
update-file,secs/core.tex,45,12157,42,1718418
update-file,secs/core.tex,46,12157,42,1711760
update-file,secs/core.tex,47,12157,42,1702680
update-file,secs/core.tex,48,12157,42,1969585
update-file,secs/core.tex,49,12157,42,1695555
update-file,secs/core.tex,50,12157,42,1819124
update-file,sampleteaser.pdf,1,585430,45,8954083
update-file,sampleteaser.pdf,2,585430,45,8993055
update-file,sampleteaser.pdf,3,585430,45,8739379
update-file,sampleteaser.pdf,4,585430,45,8702528
update-file,sampleteaser.pdf,5,585430,45,9306986
update-file,sampleteaser.pdf,6,585430,45,9374016
update-file,sampleteaser.pdf,7,585430,45,14798800
update-file,sampleteaser.pdf,8,585430,45,8944122
update-file,sampleteaser.pdf,9,585430,45,8892879
update-file,sampleteaser.pdf,10,585430,45,8544772
update-file,sampleteaser.pdf,11,585430,45,8682356
update-file,sampleteaser.pdf,12,585430,45,8463107
update-file,sampleteaser.pdf,13,585430,45,8348424
update-file,sampleteaser.pdf,14,585430,45,8417753
update-file,sampleteaser.pdf,15,585430,45,8828142
update-file,sampleteaser.pdf,16,585430,45,33357051
update-file,sampleteaser.pdf,17,585430,45,15266224
update-file,sampleteaser.pdf,18,585430,45,8831973
update-file,sampleteaser.pdf,19,585430,45,8875168
update-file,sampleteaser.pdf,20,585430,45,8511077
update-file,sampleteaser.pdf,21,585430,45,8702038
update-file,sampleteaser.pdf,22,585430,45,8735228
update-file,sampleteaser.pdf,23,585430,45,8367023
update-file,sampleteaser.pdf,24,585430,45,28237750
update-file,sampleteaser.pdf,25,585430,45,9277976
update-file,sampleteaser.pdf,26,585430,45,8448524
update-file,sampleteaser.pdf,27,585430,45,8435113
update-file,sampleteaser.pdf,28,585430,45,8681999
update-file,sampleteaser.pdf,29,585430,45,8527769
update-file,sampleteaser.pdf,30,585430,45,8684763
update-file,sampleteaser.pdf,31,585430,45,8226707
update-file,sampleteaser.pdf,32,585430,45,8863163
update-file,sampleteaser.pdf,33,585430,45,30963198
update-file,sampleteaser.pdf,34,585430,45,9503164
update-file,sampleteaser.pdf,35,585430,45,10299849
update-file,sampleteaser.pdf,36,585430,45,8779422
update-file,sampleteaser.pdf,37,585430,45,9000814
update-file,sampleteaser.pdf,38,585430,45,8184775
update-file,sampleteaser.pdf,39,585430,45,8080552
update-file,sampleteaser.pdf,40,585430,45,8936394
update-file,sampleteaser.pdf,41,585430,45,8340397
update-file,sampleteaser.pdf,42,585430,45,33119772
update-file,sampleteaser.pdf,43,585430,45,8642141
update-file,sampleteaser.pdf,44,585430,45,8469353
update-file,sampleteaser.pdf,45,585430,45,9495448
update-file,sampleteaser.pdf,46,585430,45,7931184
update-file,sampleteaser.pdf,47,585430,45,8246375
update-file,sampleteaser.pdf,48,585430,45,8863242
update-file,sampleteaser.pdf,49,585430,45,8272010
update-file,sampleteaser.pdf,50,585430,45,8082527
get-file,secs/acks.tex,1,62,767,2013934
get-file,secs/acks.tex,2,62,767,1633381
get-file,secs/acks.tex,3,62,767,1725324
get-file,secs/acks.tex,4,62,767,1842172
get-file,secs/acks.tex,5,62,767,1631595
get-file,secs/acks.tex,6,62,767,1606279
get-file,secs/acks.tex,7,62,767,2358214
get-file,secs/acks.tex,8,62,767,1589840
get-file,secs/acks.tex,9,62,767,1528211
get-file,secs/acks.tex,10,62,767,1526557
get-file,secs/acks.tex,11,62,767,1446890
get-file,secs/acks.tex,12,62,767,1450384
get-file,secs/acks.tex,13,62,767,1462664
get-file,secs/acks.tex,14,62,767,1471235
get-file,secs/acks.tex,15,62,767,1479385
get-file,secs/acks.tex,16,62,767,1463706
get-file,secs/acks.tex,17,62,767,1508291
get-file,secs/acks.tex,18,62,767,1629186
get-file,secs/acks.tex,19,62,767,1474216
get-file,secs/acks.tex,20,62,767,2446546
get-file,secs/acks.tex,21,62,767,1602997
get-file,secs/acks.tex,22,62,767,1597882
get-file,secs/acks.tex,23,62,767,1596768
get-file,secs/acks.tex,24,62,767,1574516
get-file,secs/acks.tex,25,62,767,1627546
get-file,secs/acks.tex,26,62,767,1616708
get-file,secs/acks.tex,27,62,767,1502745
get-file,secs/acks.tex,28,62,767,1570152
get-file,secs/acks.tex,29,62,767,1524962
get-file,secs/acks.tex,30,62,767,1495553
