size, repetition, time
102400,0,45678
102400,1,41680
102400,2,42593
102400,3,43409
102400,4,44580
102400,5,44953
102400,6,45151
102400,7,42456
102400,8,45178
102400,9,44521
102400,10,42334
102400,11,44957
102400,12,41137
102400,13,40548
102400,14,41341
102400,15,40890
102400,16,41564
102400,17,40167
102400,18,40742
102400,19,41217
102400,20,40557
102400,21,40505
102400,22,40715
102400,23,40352
102400,24,40411
102400,25,41031
102400,26,40789
102400,27,40834
102400,28,41056
102400,29,40638
102400,30,40399
102400,31,40167
102400,32,39765
102400,33,40732
102400,34,40953
102400,35,39767
102400,36,41106
102400,37,40650
102400,38,41011
102400,39,41012
102400,40,40633
102400,41,41280
102400,42,39867
102400,43,41013
102400,44,40537
102400,45,40958
102400,46,40341
102400,47,40718
102400,48,40985
102400,49,40406
102400,50,40950
102400,51,40834
102400,52,40645
102400,53,40290
102400,54,40965
102400,55,77594
102400,56,55919
102400,57,40905
102400,58,41801
102400,59,41165
102400,60,41720
102400,61,40748
102400,62,40831
102400,63,41369
102400,64,40739
102400,65,41342
102400,66,41381
102400,67,40993
102400,68,40577
102400,69,40621
102400,70,40316
102400,71,40820
102400,72,44762
102400,73,39611
102400,74,48704
102400,75,40968
102400,76,40806
102400,77,40267
102400,78,39755
102400,79,40362
102400,80,40750
102400,81,83533
102400,82,64709
102400,83,46459
102400,84,41028
102400,85,40546
102400,86,41060
102400,87,40931
102400,88,41756
102400,89,40323
102400,90,40918
102400,91,40870
102400,92,41327
102400,93,40477
102400,94,40835
102400,95,41364
102400,96,40632
102400,97,40609
102400,98,40822
102400,99,38450
