size, repetition, time
5242880,0,6124248
5242880,1,1811078
5242880,2,1742388
5242880,3,1690427
5242880,4,1715155
5242880,5,1701238
5242880,6,1733767
5242880,7,1682173
5242880,8,1713152
5242880,9,1709838
5242880,10,1691009
5242880,11,1733338
5242880,12,1697678
5242880,13,1712217
5242880,14,1718729
5242880,15,1721504
5242880,16,1741543
5242880,17,1703268
5242880,18,1738407
5242880,19,1708762
5242880,20,2032945
5242880,21,1780882
5242880,22,1675850
5242880,23,1707654
5242880,24,1775155
5242880,25,1706922
5242880,26,1763318
5242880,27,30151196
5242880,28,1717506
5242880,29,1707394
5242880,30,1703108
5242880,31,1795682
5242880,32,1709309
5242880,33,1686664
5242880,34,1716581
5242880,35,1786955
5242880,36,1745682
5242880,37,1688731
5242880,38,1763644
5242880,39,1723369
5242880,40,1679450
5242880,41,1710565
5242880,42,1683043
5242880,43,1706417
5242880,44,1733993
5242880,45,1683715
5242880,46,1691714
5242880,47,1682581
5242880,48,1709243
5242880,49,1686442
5242880,50,1722429
5242880,51,1679052
5242880,52,1714351
5242880,53,1689990
5242880,54,1683478
5242880,55,1697296
5242880,56,1686949
5242880,57,1860466
5242880,58,1690092
5242880,59,1695004
5242880,60,1686716
5242880,61,43458635
5242880,62,1702076
5242880,63,1718649
5242880,64,1692580
5242880,65,1714203
5242880,66,1716695
5242880,67,1710474
5242880,68,1729271
5242880,69,1706710
5242880,70,1733559
5242880,71,1737460
5242880,72,1753057
5242880,73,1713612
5242880,74,1720991
5242880,75,1753927
5242880,76,1732009
5242880,77,1700261
5242880,78,1711924
5242880,79,1744362
5242880,80,1727926
5242880,81,1700226
5242880,82,1722352
5242880,83,1704555
5242880,84,1722788
5242880,85,1698194
5242880,86,1722532
5242880,87,1700316
5242880,88,1703062
5242880,89,1730838
5242880,90,1818200
5242880,91,1733398
5242880,92,1702330
5242880,93,1712363
5242880,94,1704183
5242880,95,43426971
5242880,96,1787493
5242880,97,1717967
5242880,98,1699994
5242880,99,1707969
