size, repetition, time
1024,0,20618
1024,1,22393
1024,2,18616
1024,3,28058
1024,4,18111
1024,5,21223
1024,6,22709
1024,7,13561
1024,8,13401
1024,9,13212
1024,10,13133
1024,11,13105
1024,12,13095
1024,13,21683
1024,14,21632
1024,15,15749
1024,16,12811
1024,17,21032
1024,18,22242
1024,19,21955
1024,20,10697
1024,21,13138
1024,22,13099
1024,23,21359
1024,24,10376
1024,25,13128
1024,26,13193
1024,27,21601
1024,28,19093
1024,29,22228
1024,30,12899
1024,31,21674
1024,32,18007
1024,33,21103
1024,34,19078
1024,35,13074
1024,36,22682
1024,37,21808
1024,38,21733
1024,39,17990
1024,40,18520
1024,41,14041
1024,42,13145
1024,43,13100
1024,44,21587
1024,45,17599
1024,46,13264
1024,47,13020
1024,48,22909
1024,49,17705
1024,50,14476
1024,51,21705
1024,52,21825
1024,53,27581
1024,54,13357
1024,55,20987
1024,56,22397
1024,57,29527
1024,58,21844
1024,59,23304
1024,60,24229
1024,61,71180
1024,62,24921
1024,63,21991
1024,64,22018
1024,65,15053
1024,66,22425
1024,67,21950
1024,68,21754
1024,69,21826
1024,70,22057
1024,71,21883
1024,72,22073
1024,73,21975
1024,74,22305
1024,75,21258
1024,76,13434
1024,77,13298
1024,78,12929
1024,79,22115
1024,80,12976
1024,81,22932
1024,82,21773
1024,83,21849
1024,84,21894
1024,85,17965
1024,86,21826
1024,87,12956
1024,88,23066
1024,89,21780
1024,90,21147
1024,91,12832
1024,92,18862
1024,93,21928
1024,94,12852
1024,95,14057
1024,96,13285
1024,97,21496
1024,98,19328
1024,99,18525
