size, repetition, time
102400,0,79183
102400,1,83935
102400,2,79218
102400,3,79156
102400,4,78028
102400,5,78240
102400,6,79119
102400,7,80336
102400,8,79946
102400,9,84231
102400,10,90636
102400,11,89364
102400,12,88968
102400,13,93988
102400,14,91725
102400,15,89839
102400,16,90114
102400,17,112358
102400,18,97783
102400,19,93116
102400,20,92855
102400,21,93010
102400,22,97213
102400,23,92351
102400,24,103663
102400,25,104083
102400,26,103536
102400,27,104923
102400,28,101428
102400,29,103591
102400,30,104104
102400,31,104565
102400,32,103570
102400,33,102502
102400,34,102333
102400,35,100171
102400,36,101826
102400,37,104034
102400,38,104256
102400,39,99394
102400,40,102257
102400,41,103254
102400,42,105118
102400,43,99672
102400,44,102651
102400,45,105659
102400,46,100462
102400,47,99395
102400,48,104936
102400,49,98355
102400,50,103210
102400,51,97507
102400,52,103428
102400,53,99359
102400,54,98504
102400,55,97642
102400,56,112310
102400,57,105026
102400,58,102222
102400,59,104294
102400,60,104646
102400,61,103105
102400,62,99465
102400,63,102699
102400,64,98845
102400,65,102926
102400,66,103434
102400,67,108355
102400,68,103081
102400,69,97945
102400,70,99341
102400,71,100457
102400,72,104474
102400,73,99755
102400,74,99099
102400,75,103802
102400,76,102933
102400,77,101120
102400,78,105959
102400,79,99677
102400,80,98782
102400,81,104255
102400,82,102395
102400,83,98636
102400,84,103458
102400,85,104929
102400,86,104507
102400,87,102259
102400,88,104473
102400,89,98905
102400,90,101653
102400,91,100649
102400,92,103597
102400,93,99152
102400,94,98085
102400,95,112598
102400,96,95942
102400,97,104362
102400,98,100076
102400,99,92620
