size, repetition, time
10,0,22839
10,1,20018
10,2,19665
10,3,19445
10,4,19822
10,5,19592
10,6,19353
10,7,19931
10,8,20106
10,9,19804
10,10,19750
10,11,19767
10,12,20091
10,13,20092
10,14,19821
10,15,19791
10,16,19818
10,17,29211
10,18,20055
10,19,20068
10,20,19806
10,21,19861
10,22,20170
10,23,19706
10,24,19614
10,25,19699
10,26,19949
10,27,19750
10,28,19962
10,29,19721
10,30,19665
10,31,19994
10,32,20094
10,33,19286
10,34,19519
10,35,19813
10,36,19909
10,37,19741
10,38,19825
10,39,19932
10,40,19991
10,41,19819
10,42,19526
10,43,19818
10,44,19740
10,45,19987
10,46,19989
10,47,19473
10,48,19542
10,49,19796
10,50,19942
10,51,19663
10,52,19708
10,53,19475
10,54,20023
10,55,19530
10,56,19855
10,57,19574
10,58,19506
10,59,19930
10,60,19832
10,61,19889
10,62,19567
10,63,19736
10,64,19951
10,65,19815
10,66,19512
10,67,19778
10,68,19788
10,69,19832
10,70,19716
10,71,19795
10,72,19844
10,73,20101
10,74,19467
10,75,19699
10,76,19922
10,77,19948
10,78,19778
10,79,19749
10,80,19586
10,81,20182
10,82,19457
10,83,19544
10,84,19891
10,85,34625
10,86,19751
10,87,19889
10,88,20062
10,89,19692
10,90,19860
10,91,15050
10,92,21407
10,93,19695
10,94,19801
10,95,19675
10,96,19664
10,97,19618
10,98,19987
10,99,16267
