size, repetition, time
5242880,0,3769885
5242880,1,3451984
5242880,2,3319320
5242880,3,3258401
5242880,4,3265053
5242880,5,3205288
5242880,6,3132198
5242880,7,3127150
5242880,8,3077772
5242880,9,3001308
5242880,10,3009968
5242880,11,2953039
5242880,12,2871901
5242880,13,2869165
5242880,14,2858599
5242880,15,2784155
5242880,16,2711799
5242880,17,2747393
5242880,18,2748699
5242880,19,2924332
5242880,20,2274552
5242880,21,2377714
5242880,22,2396289
5242880,23,2309581
5242880,24,2304596
5242880,25,2286269
5242880,26,2308354
5242880,27,2211781
5242880,28,2223156
5242880,29,2195837
5242880,30,2221536
5242880,31,2208986
5242880,32,2141244
5242880,33,2157623
5242880,34,2118945
5242880,35,2115370
5242880,36,2098672
5242880,37,2096101
5242880,38,2080075
5242880,39,2085464
5242880,40,2061915
5242880,41,2064124
5242880,42,2010928
5242880,43,2026151
5242880,44,2008341
5242880,45,2026867
5242880,46,2001325
5242880,47,2015712
5242880,48,2004470
5242880,49,2025783
5242880,50,1998248
5242880,51,2018062
5242880,52,1997738
5242880,53,2034375
5242880,54,2000014
5242880,55,2022534
5242880,56,2005229
5242880,57,2031650
5242880,58,1994758
5242880,59,2028027
5242880,60,2009505
5242880,61,2021303
5242880,62,2000226
5242880,63,2011873
5242880,64,2003064
5242880,65,2029013
5242880,66,2006777
5242880,67,2016219
5242880,68,2005366
5242880,69,2027079
5242880,70,2019288
5242880,71,2017792
5242880,72,2005142
5242880,73,2005575
5242880,74,1992084
5242880,75,2032039
5242880,76,2019429
5242880,77,2038458
5242880,78,2002584
5242880,79,2012263
5242880,80,2020969
5242880,81,2009414
5242880,82,1999707
5242880,83,2010825
5242880,84,2000074
5242880,85,2023333
5242880,86,2009551
5242880,87,2033674
5242880,88,2007314
5242880,89,2018193
5242880,90,1993818
5242880,91,2019250
5242880,92,1992724
5242880,93,2015905
5242880,94,2008571
5242880,95,2018683
5242880,96,1994130
5242880,97,2016434
5242880,98,2005800
5242880,99,2004424
