size, repetition, time
1048576,0,651817
1048576,1,646378
1048576,2,683341
1048576,3,667482
1048576,4,651310
1048576,5,662541
1048576,6,640063
1048576,7,644824
1048576,8,638856
1048576,9,662442
1048576,10,680381
1048576,11,653747
1048576,12,648265
1048576,13,645246
1048576,14,644205
1048576,15,668203
1048576,16,635357
1048576,17,609717
1048576,18,599108
1048576,19,620425
1048576,20,592935
1048576,21,601993
1048576,22,625333
1048576,23,605904
1048576,24,628690
1048576,25,608950
1048576,26,627494
1048576,27,604302
1048576,28,625128
1048576,29,602801
1048576,30,613197
1048576,31,603797
1048576,32,603764
1048576,33,572837
1048576,34,598292
1048576,35,586552
1048576,36,548376
1048576,37,582947
1048576,38,568623
1048576,39,566273
1048576,40,578315
1048576,41,566424
1048576,42,597924
1048576,43,582844
1048576,44,587431
1048576,45,578248
1048576,46,574480
1048576,47,581369
1048576,48,556592
1048576,49,590996
1048576,50,568191
1048576,51,549677
1048576,52,529382
1048576,53,541363
1048576,54,554171
1048576,55,541756
1048576,56,554802
1048576,57,534881
1048576,58,561998
1048576,59,538511
1048576,60,547811
1048576,61,520680
1048576,62,563238
1048576,63,534139
1048576,64,554912
1048576,65,544778
1048576,66,548709
1048576,67,553811
1048576,68,506119
1048576,69,510016
1048576,70,525641
1048576,71,537783
1048576,72,513808
1048576,73,523551
1048576,74,518954
1048576,75,509292
1048576,76,502403
1048576,77,516441
1048576,78,516416
1048576,79,522926
1048576,80,502897
1048576,81,541150
1048576,82,517115
1048576,83,504893
1048576,84,543838
1048576,85,505080
1048576,86,539791
1048576,87,474824
1048576,88,493870
1048576,89,519490
1048576,90,489342
1048576,91,490959
1048576,92,517200
1048576,93,491472
1048576,94,504270
1048576,95,487868
1048576,96,484414
1048576,97,499527
1048576,98,490267
1048576,99,504680
