type,input,repetition,input-size,output-size,time,download-time,compile-time
compile,full,1,55,41654,3906076017,0.549643,3.05639
compile,full,2,55,41654,3707164954,0.534754,2.99298
compile,full,3,55,41653,3884893719,0.72944,2.95569
compile,full,4,55,41654,3678407629,0.525173,3.07252
compile,full,5,55,41654,3748957426,0.680226,2.93798
compile,full,6,55,41654,3601747249,0.618866,2.91459
compile,full,7,55,41654,3730111738,0.609923,2.933
compile,full,8,55,41654,3766313788,0.664958,3.02402
compile,full,9,55,41654,3584168865,0.604337,2.82404
compile,full,10,55,41653,3520890175,0.545018,2.88356
compile,full,11,55,41653,4352744029,0.630636,3.50919
compile,full,12,55,41654,3766556571,0.484052,3.12945
compile,full,13,55,41652,3527716856,0.506603,2.9427
compile,full,14,55,41653,3595679359,0.53366,2.90411
compile,full,15,55,41654,4660754407,0.861922,3.58037
compile,full,16,55,41654,3526550036,0.593027,2.80811
compile,full,17,55,41654,3854441305,0.845703,2.85474
compile,full,18,55,41654,3502874110,0.524229,2.84044
compile,full,19,55,41654,3534566451,0.491809,2.91139
compile,full,20,55,41654,3885866542,0.725759,3.06771
compile,full,21,55,41654,3461040674,0.400462,2.81299
compile,full,22,55,41654,3567090136,0.599205,2.87564
compile,full,23,55,41654,3400312365,0.503067,2.81705
compile,full,24,55,41654,3952565425,0.527546,3.10404
compile,full,25,55,41654,3537327109,0.560835,2.78752
compile,full,26,55,41654,3475988476,0.458778,2.82999
compile,full,27,55,41654,3718669797,0.636507,3.01977
compile,full,28,55,41653,3511131522,0.39311,2.86098
compile,full,29,55,41653,3580431093,0.660123,2.80662
compile,full,30,55,41654,3360679493,0.433695,2.7889
compile,full,31,55,41654,3504483085,0.575237,2.75265
compile,full,32,55,41654,3427596124,0.405429,2.80872
compile,full,33,55,41654,3346043411,0.443533,2.73001
compile,full,34,55,41654,3658601352,0.588278,2.87552
compile,full,35,55,41654,3637666960,0.548421,2.91267
compile,full,36,55,41654,3727688555,0.711117,2.88273
compile,full,37,55,41654,3857135959,0.700293,2.91094
compile,full,38,55,41654,3536525791,0.493046,2.87326
compile,full,39,55,41654,3500115570,0.449109,2.93093
compile,full,40,55,41654,3433851414,0.439074,2.82918
compile,full,41,55,41654,3451636755,0.476053,2.82707
compile,full,42,55,41653,3436159897,0.427467,2.92715
compile,full,43,55,41654,3599207461,0.533024,2.9144
compile,full,44,55,41654,3365767522,0.447622,2.84754
compile,full,45,55,41654,3489971092,0.512583,2.84417
compile,full,46,55,41654,3634624709,0.550089,2.92282
compile,full,47,55,41654,3818269636,0.505259,3.06263
compile,full,48,55,41654,3729248616,0.622581,2.93223
compile,full,49,55,41654,3481966897,0.491647,2.84022
compile,full,50,55,41654,3493947546,0.541156,2.80888
compile,small-update,1,56,317,329934554,0.07001,0.095907
compile,small-update,2,56,318,341281141,0.093499,0.111557
compile,small-update,3,56,318,304867815,0.083704,0.094177
compile,small-update,4,56,318,262716365,0.076381,0.107593
compile,small-update,5,56,318,388605496,0.135752,0.105864
compile,small-update,6,56,317,296099110,0.078317,0.10449
compile,small-update,7,56,318,292652782,0.069222,0.094185
compile,small-update,8,56,318,328454738,0.091576,0.100626
compile,small-update,9,56,318,305694428,0.068365,0.102263
compile,small-update,10,56,316,300933563,0.0709,0.095632
compile,small-update,11,56,318,352850804,0.081442,0.109258
compile,small-update,12,56,318,357418152,0.108157,0.096392
compile,small-update,13,56,318,366039654,0.100308,0.096529
compile,small-update,14,56,318,288669228,0.064379,0.095515
compile,small-update,15,56,318,361893637,0.102439,0.109148
compile,small-update,16,56,318,308229446,0.066627,0.098947
compile,small-update,17,56,318,360870228,0.059937,0.093872
compile,small-update,18,56,317,271485392,0.10163,0.094201
compile,small-update,19,56,318,341640683,0.060552,0.097384
compile,small-update,20,56,318,395215414,0.060267,0.093723
compile,small-update,21,56,318,315561613,0.060615,0.106723
compile,small-update,22,56,318,293900898,0.075281,0.098282
compile,small-update,23,56,318,261929534,0.058892,0.092921
compile,small-update,24,56,318,223308588,0.061014,0.095927
compile,small-update,25,56,317,216793007,0.061991,0.09541
compile,small-update,26,56,318,287000659,0.068995,0.094158
compile,small-update,27,56,318,304731355,0.059869,0.092663
compile,small-update,28,56,317,306683837,0.077831,0.09494
compile,small-update,29,56,318,222047507,0.060898,0.095335
compile,small-update,30,56,318,320902260,0.093444,0.094497
compile,small-update,31,56,318,336242855,0.077553,0.097163
compile,small-update,32,56,318,299770843,0.097597,0.094425
compile,small-update,33,56,318,330735651,0.060466,0.096681
compile,small-update,34,56,318,307126825,0.063691,0.093545
compile,small-update,35,56,318,371131718,0.093475,0.095267
compile,small-update,36,56,318,372598779,0.141779,0.101879
compile,small-update,37,56,318,379895807,0.097982,0.094108
compile,small-update,38,56,318,386334464,0.108126,0.106814
compile,small-update,39,56,317,358581602,0.065607,0.09303
compile,small-update,40,56,316,451340247,0.18438,0.09936
compile,small-update,41,56,318,344014121,0.097732,0.103123
compile,small-update,42,56,318,312004208,0.063928,0.100026
compile,small-update,43,56,318,338439212,0.056952,0.095807
compile,small-update,44,56,318,288855106,0.068857,0.093476
compile,small-update,45,56,318,430696010,0.088164,0.113546
compile,small-update,46,56,318,451727423,0.087063,0.096526
compile,small-update,47,56,318,371158246,0.123781,0.099555
compile,small-update,48,56,318,310138076,0.057664,0.092387
compile,small-update,49,56,318,277317478,0.065538,0.095508
compile,small-update,50,56,318,316882803,0.079078,0.093262
compile,large-update,1,56,613,359463772,0.109875,0.107752
compile,large-update,2,56,613,294354535,0.127847,0.107675
compile,large-update,3,56,612,429303200,0.141975,0.08631
compile,large-update,4,56,613,447812530,0.231385,0.075541
