type,input,repetition,input-size,output-size,time,download-time,compile-time
compile,full,1,55,33400,9951257510,0.049887,9.82408
compile,full,2,55,33400,9946091403,0.042183,9.90096
compile,full,3,55,33400,9909544255,0.005741,9.90082
compile,full,4,55,33399,9865736245,0.050915,9.81167
compile,full,5,55,33400,9894299014,0.005821,9.8855
compile,full,6,55,33400,10060314263,0.005881,9.97855
compile,full,7,55,33400,9943353503,0.005998,9.89824
compile,full,8,55,33400,9909677689,0.006144,9.90026
compile,full,9,55,33400,9905822645,0.006228,9.89657
compile,full,10,55,33400,9862094907,0.005951,9.85321
compile,full,11,55,33400,9882039781,0.006432,9.87258
compile,full,12,55,33400,9913966408,0.005665,9.90509
compile,full,13,55,33400,9960444028,0.005699,9.95194
compile,full,14,55,33399,9902839904,0.005733,9.89362
compile,full,15,55,33400,9990614001,0.005633,9.98194
compile,full,16,55,33400,9815567810,0.005865,9.8067
compile,full,17,55,33399,9875110926,0.00574,9.8664
compile,full,18,55,33399,9959969988,0.00551,9.95151
compile,full,19,55,33401,10015629365,0.005665,10.0061
compile,full,20,55,33400,9980732750,0.005723,9.97208
compile,full,21,55,33400,9914966155,0.005775,9.90623
compile,full,22,55,33399,9877186484,0.05295,9.82123
compile,full,23,55,33400,9954893040,0.052208,9.89976
compile,full,24,55,33400,9907243253,0.006029,9.89808
compile,full,25,55,33400,9992367942,0.006188,9.98322
compile,full,26,55,33400,9895900081,0.005785,9.88704
compile,full,27,55,33399,9879414258,0.005644,9.87072
compile,full,28,55,33400,9904606114,0.005734,9.89559
compile,full,29,55,33400,9912108877,0.006288,9.90283
compile,full,30,55,33400,9988851132,0.005927,9.97991
compile,full,31,55,33400,9992291771,0.005905,9.98327
compile,full,32,55,33400,9893150658,0.005374,9.88486
compile,full,33,55,33400,9875864765,0.005802,9.86697
compile,full,34,55,33400,9960252735,0.005647,9.95157
compile,full,35,55,33400,10038246169,0.006098,9.99517
compile,full,36,55,33400,9941374671,0.040636,9.89779
compile,full,37,55,33399,9940711713,0.042149,9.81766
compile,full,38,55,33400,9957375397,0.042128,9.91226
compile,full,39,55,33400,9881432466,0.005505,9.87293
compile,full,40,55,33400,9909241074,0.005788,9.90044
compile,full,41,55,33400,9877457018,0.051937,9.82265
compile,full,42,55,33400,9872260655,0.051153,9.81816
compile,full,43,55,33400,9876813131,0.054166,9.81972
compile,full,44,55,33400,9959662481,0.052424,9.90427
compile,full,45,55,33400,10036716538,0.005892,9.91871
compile,full,46,55,33398,9860597795,0.0406,9.81698
compile,full,47,55,33401,10075505864,0.052551,10.0198
compile,full,48,55,33400,9940073722,0.038313,9.89874
compile,full,49,55,33400,9944743532,0.043129,9.89858
compile,full,50,55,33399,9901086618,0.00581,9.81619
compile,small-update,1,56,269,401665773,0.000334,0.399675
compile,small-update,2,56,269,399680010,0.000338,0.397591
compile,small-update,3,56,269,482631719,0.000315,0.480719
compile,small-update,4,56,269,400909278,0.000336,0.398837
compile,small-update,5,56,269,405395614,0.000375,0.403339
compile,small-update,6,56,269,401443723,0.000345,0.399449
compile,small-update,7,56,269,482401513,0.000332,0.404793
compile,small-update,8,56,268,400435849,0.00035,0.398361
compile,small-update,9,56,269,404788114,0.000356,0.402673
compile,small-update,10,56,268,402908216,0.00036,0.400872
compile,small-update,11,56,269,405885610,0.000324,0.403816
compile,small-update,12,56,269,478186304,0.000327,0.476261
compile,small-update,13,56,269,405819489,0.000357,0.403799
compile,small-update,14,56,268,402541791,0.00035,0.400491
compile,small-update,15,56,269,405583777,0.000345,0.403603
compile,small-update,16,56,269,479359694,0.000347,0.477342
compile,small-update,17,56,269,406837327,0.000366,0.404672
compile,small-update,18,56,269,403083627,0.000343,0.400996
compile,small-update,19,56,269,405843969,0.000329,0.403889
compile,small-update,20,56,269,477626334,0.000343,0.475703
compile,small-update,21,56,269,400716811,0.000346,0.398645
compile,small-update,22,56,269,406402706,0.000353,0.404273
compile,small-update,23,56,269,400282921,0.000329,0.398269
compile,small-update,24,56,268,406006486,0.00034,0.404033
compile,small-update,25,56,269,478370701,0.000312,0.403382
compile,small-update,26,56,269,405629605,0.000354,0.403633
compile,small-update,27,56,269,402037440,0.000334,0.400049
compile,small-update,28,56,269,406225940,0.000327,0.404218
compile,small-update,29,56,269,479884382,0.000324,0.477878
compile,small-update,30,56,269,405496267,0.000346,0.403456
compile,small-update,31,56,269,403165641,0.000619,0.400149
compile,small-update,32,56,269,404986814,0.000324,0.402905
compile,small-update,33,56,269,479607518,0.000317,0.400759
compile,small-update,34,56,269,400446770,0.000406,0.398427
compile,small-update,35,56,269,404359245,0.000345,0.402396
compile,small-update,36,56,269,400902704,0.000335,0.398904
compile,small-update,37,56,269,405313067,0.000348,0.403349
compile,small-update,38,56,269,405044850,0.000331,0.403022
compile,small-update,39,56,269,400151132,0.000372,0.324637
compile,small-update,40,56,269,404846963,0.000346,0.402865
compile,small-update,41,56,268,401830885,0.00037,0.399819
compile,small-update,42,56,268,404597105,0.00034,0.402606
compile,small-update,43,56,269,406652197,0.000347,0.404669
compile,small-update,44,56,269,407519325,0.000433,0.405341
compile,small-update,45,56,269,402181362,0.000318,0.400231
compile,small-update,46,56,269,404172931,0.000316,0.402181
compile,small-update,47,56,269,401791056,0.000329,0.399791
compile,small-update,48,56,269,479626673,0.000314,0.477639
compile,small-update,49,56,269,405762162,0.000334,0.403765
compile,small-update,50,56,268,401502500,0.00031,0.399574
compile,large-update,1,56,269,314231490,0.000892,0.311522
compile,large-update,2,56,269,383967966,0.000863,0.381403
compile,large-update,3,56,267,306781334,0.00084,0.30425
compile,large-update,4,56,269,383488115,0.000788,0.381115
compile,large-update,5,56,269,383762628,0.000788,0.381222
compile,large-update,6,56,269,310824460,0.000872,0.308153
compile,large-update,7,56,269,382177788,0.000791,0.379682
compile,large-update,8,56,269,384787540,0.000812,0.304554
compile,large-update,9,56,269,308306504,0.000819,0.305858
compile,large-update,10,56,269,381808144,0.000813,0.379248
compile,large-update,11,56,269,307162037,0.000908,0.304562
compile,large-update,12,56,269,384423940,0.000785,0.381938
compile,large-update,13,56,268,382667609,0.00079,0.303632
compile,large-update,14,56,268,308610736,0.00088,0.305832
compile,large-update,15,56,266,384477956,0.000755,0.382
compile,large-update,16,56,267,307275643,0.00082,0.30485
compile,large-update,17,56,269,312079714,0.000946,0.309456
compile,large-update,18,56,268,380319821,0.00101,0.304205
compile,large-update,19,56,269,307124871,0.000827,0.304532
compile,large-update,20,56,268,384576480,0.00076,0.382148
compile,large-update,21,56,269,307548836,0.000763,0.305096
compile,large-update,22,56,268,311410894,0.000794,0.30897
compile,large-update,23,56,269,381844048,0.000773,0.379381
compile,large-update,24,56,269,306687949,0.000795,0.304272
compile,large-update,25,56,269,385802174,0.000784,0.383329
compile,large-update,26,56,269,384934066,0.000805,0.382576
compile,large-update,27,56,269,307079103,0.000857,0.304583
compile,large-update,28,56,269,384653930,0.000768,0.382286
compile,large-update,29,56,268,385072165,0.000797,0.30642
