type,input,repetition,input-size,output-size,time,download-time,compile-time
compile,full,1,55,41654,11658717584,0.531716,10.8779
compile,full,2,55,41655,11409962222,0.423428,10.8054
compile,full,3,55,41655,11615797247,0.667813,10.8045
compile,full,4,55,41655,11549751321,0.506101,10.8234
compile,full,5,55,41655,11532539435,0.467404,10.8282
compile,full,6,55,41655,11759726642,0.626495,10.8909
compile,full,7,55,41654,11844309914,0.694156,10.8333
compile,full,8,55,41654,11509664622,0.425037,10.8565
compile,full,9,55,41655,11558141118,0.567718,10.7739
compile,full,10,55,41655,11744896608,0.590863,10.9387
compile,full,11,55,41655,11919582312,0.827456,10.7518
compile,full,12,55,41655,11676225330,0.491434,10.7945
compile,full,13,55,41653,11665541064,0.457784,10.8767
compile,full,14,55,41654,11618951620,0.548179,10.7859
compile,full,15,55,41655,11661537927,0.525021,10.8785
compile,full,16,55,41653,11553422171,0.49007,10.8657
compile,full,17,55,41655,11665844351,0.434422,10.9015
compile,full,18,55,41655,11561296977,0.524326,10.8121
compile,full,19,55,41655,12012799690,0.953094,10.8677
compile,full,20,55,41655,11600026060,0.573301,10.8796
compile,full,21,55,41655,12229025325,0.830906,11.1357
compile,full,22,55,41655,11545117085,0.440089,10.8438
compile,full,23,55,41655,11782584451,0.427497,11.1037
compile,full,24,55,41655,11573875498,0.484406,10.9533
compile,full,25,55,41655,11599011477,0.526179,10.8348
compile,full,26,55,41654,11482649964,0.442003,10.8639
compile,full,27,55,41655,11562781935,0.432785,10.894
compile,full,28,55,41655,11633526609,0.576999,10.7923
compile,full,29,55,41655,11715317021,0.569667,10.9141
compile,full,30,55,41655,11547383490,0.481254,10.8602
compile,full,31,55,41655,11764148381,0.619956,10.9139
compile,full,32,55,41655,11587970626,0.497695,10.8747
compile,full,33,55,41655,11537178275,0.473631,10.9134
compile,full,34,55,41654,11596025234,0.474579,10.9194
compile,full,35,55,41655,11744675871,0.468054,11.0347
compile,full,36,55,41655,11586218841,0.456477,10.9073
compile,full,37,55,41655,11664156792,0.457512,10.9345
compile,full,38,55,41655,11794641650,0.500177,11.0503
compile,full,39,55,41655,12001540408,0.499707,11.2539
compile,full,40,55,41655,12105669627,0.738777,11.0616
compile,full,41,55,41654,11927682418,0.50173,11.1899
compile,full,42,55,41655,11991885913,0.535483,11.0616
compile,full,43,55,41655,11549856582,0.472777,10.8487
compile,full,44,55,41654,11567117409,0.52062,10.82
compile,full,45,55,41655,11715653851,0.578599,10.8986
compile,full,46,55,41654,11846163687,0.707983,10.896
compile,full,47,55,41655,11608533353,0.619343,10.7928
compile,full,48,55,41654,11613054898,0.425757,10.8639
compile,full,49,55,41655,11715086130,0.676304,10.8612
compile,full,50,55,41655,11756032006,0.553041,10.8918
compile,small-update,1,56,318,550402090,0.088232,0.367395
compile,small-update,2,56,318,640142799,0.062267,0.381231
compile,small-update,3,56,317,945084278,0.063143,0.37789
compile,small-update,4,56,318,829026937,0.190815,0.369717
compile,small-update,5,56,318,659452184,0.082478,0.367925
compile,small-update,6,56,318,586305612,0.072832,0.368486
compile,small-update,7,56,318,600188475,0.071427,0.382088
compile,small-update,8,56,318,596365898,0.068058,0.370419
compile,small-update,9,56,318,699242212,0.076578,0.369916
compile,small-update,10,56,318,676573244,0.102157,0.369347
compile,small-update,11,56,315,594840638,0.0793,0.37683
compile,small-update,12,56,317,619210769,0.06719,0.379734
compile,small-update,13,56,318,600114351,0.067166,0.371535
compile,small-update,14,56,318,624430899,0.076227,0.360792
compile,small-update,15,56,318,653282040,0.106628,0.363785
compile,small-update,16,56,318,777212123,0.092217,0.357764
compile,small-update,17,56,317,745452202,0.09161,0.381477
compile,small-update,18,56,317,733816945,0.122138,0.37421
compile,small-update,19,56,318,613213650,0.097707,0.344175
compile,small-update,20,56,318,534441295,0.072981,0.380728
compile,small-update,21,56,318,749303339,0.078239,0.422406
compile,small-update,22,56,318,808670373,0.162431,0.375538
compile,small-update,23,56,318,685339874,0.109071,0.366452
compile,small-update,24,56,318,716296964,0.136017,0.370451
compile,small-update,25,56,318,683230424,0.117492,0.371189
compile,small-update,26,56,318,640072067,0.100128,0.376852
compile,small-update,27,56,318,593437071,0.059839,0.378831
compile,small-update,28,56,316,682406290,0.110313,0.3807
compile,small-update,29,56,318,605221206,0.096675,0.390542
compile,small-update,30,56,318,637634971,0.056342,0.384567
compile,small-update,31,56,318,670482244,0.095688,0.369303
compile,small-update,32,56,318,702582115,0.069676,0.383447
compile,small-update,33,56,315,576463778,0.068,0.389588
compile,small-update,34,56,318,583733387,0.063686,0.379342
compile,small-update,35,56,318,599502973,0.051859,0.371908
compile,small-update,36,56,318,614770985,0.051995,0.377906
compile,small-update,37,56,318,649557216,0.069667,0.369707
compile,small-update,38,56,318,566889209,0.062823,0.378021
compile,small-update,39,56,318,559635041,0.058866,0.358731
compile,small-update,40,56,318,695934658,0.137726,0.367203
compile,small-update,41,56,318,570836851,0.052673,0.394713
compile,small-update,42,56,318,630852821,0.055596,0.367223
compile,small-update,43,56,318,575856492,0.059342,0.388137
compile,small-update,44,56,318,637214968,0.053613,0.403288
compile,small-update,45,56,318,714803480,0.110842,0.390747
compile,small-update,46,56,318,563309194,0.062119,0.386759
compile,small-update,47,56,318,608060196,0.062203,0.395896
compile,small-update,48,56,318,799871667,0.083446,0.366288
compile,small-update,49,56,318,647675296,0.055208,0.373119
compile,small-update,50,56,318,730982618,0.061479,0.383914
compile,large-update,1,56,613,637035039,0.145192,0.339318
compile,large-update,2,56,613,709266189,0.149996,0.293623
compile,large-update,3,56,612,759305118,0.15694,0.302514
compile,large-update,4,56,613,694625516,0.176998,0.312755
compile,large-update,5,56,613,733943579,0.148563,0.295634
compile,large-update,6,56,613,593807572,0.144301,0.309281
compile,large-update,7,56,613,591252027,0.171551,0.306454
compile,large-update,8,56,613,620236304,0.131749,0.299975
compile,large-update,9,56,613,603564535,0.141536,0.293839
compile,large-update,10,56,613,548166398,0.138852,0.303785
compile,large-update,11,56,613,631045749,0.141764,0.318997
compile,large-update,12,56,613,695549756,0.253322,0.281341
compile,large-update,13,56,613,523323092,0.128742,0.292539
compile,large-update,14,56,613,639275097,0.142103,0.325001
compile,large-update,15,56,613,604259122,0.128964,0.317185
compile,large-update,16,56,613,615609891,0.134369,0.310764
compile,large-update,17,56,613,667652808,0.127334,0.294047
compile,large-update,18,56,613,594799540,0.141478,0.333569
compile,large-update,19,56,613,561988591,0.184528,0.276406
compile,large-update,20,56,613,655643015,0.129732,0.294412
