type,input,repetition,input-size,output-size,time
update-file,secs/acks.tex,1,781,49,43195210
update-file,secs/acks.tex,2,781,49,32976499
update-file,secs/acks.tex,3,781,49,27618868
update-file,secs/acks.tex,4,781,49,58373429
update-file,secs/acks.tex,5,781,49,40825602
update-file,secs/acks.tex,6,781,49,28453427
update-file,secs/acks.tex,7,781,49,33199562
update-file,secs/acks.tex,8,781,49,58912052
update-file,secs/acks.tex,9,781,49,26845566
update-file,secs/acks.tex,10,781,49,26941726
update-file,secs/acks.tex,11,781,49,25043068
update-file,secs/acks.tex,12,781,49,26544951
update-file,secs/acks.tex,13,781,49,55560099
update-file,secs/acks.tex,14,781,49,29812416
update-file,secs/acks.tex,15,781,49,27192364
update-file,secs/acks.tex,16,781,49,26671254
update-file,secs/acks.tex,17,781,49,41599512
update-file,secs/acks.tex,18,781,49,27309831
update-file,secs/acks.tex,19,781,49,38625024
update-file,secs/acks.tex,20,781,49,24372063
update-file,secs/acks.tex,21,781,49,26196073
update-file,secs/acks.tex,22,781,49,25496853
update-file,secs/acks.tex,23,781,49,41861019
update-file,secs/acks.tex,24,781,49,35395948
update-file,secs/acks.tex,25,781,49,45551622
update-file,secs/acks.tex,26,781,49,23628439
update-file,secs/acks.tex,27,781,49,38131029
update-file,secs/acks.tex,28,781,49,46539673
update-file,secs/acks.tex,29,781,49,53454652
update-file,secs/acks.tex,30,781,49,65281361
update-file,secs/acks.tex,31,781,49,34860907
update-file,secs/acks.tex,32,781,49,52359394
update-file,secs/acks.tex,33,781,49,27064449
update-file,secs/acks.tex,34,781,49,29984977
update-file,secs/acks.tex,35,781,49,26233709
update-file,secs/acks.tex,36,781,49,35246048
update-file,secs/acks.tex,37,781,49,53101434
update-file,secs/acks.tex,38,781,49,32459056
update-file,secs/acks.tex,39,781,49,44081320
update-file,secs/acks.tex,40,781,49,38919566
update-file,secs/acks.tex,41,781,49,46221381
update-file,secs/acks.tex,42,781,49,26235970
update-file,secs/acks.tex,43,781,49,36149616
update-file,secs/acks.tex,44,781,49,59581287
update-file,secs/acks.tex,45,781,49,49951036
update-file,secs/acks.tex,46,781,49,30171229
update-file,secs/acks.tex,47,781,49,25348708
update-file,secs/acks.tex,48,781,49,24704139
update-file,secs/acks.tex,49,781,49,33934216
update-file,secs/acks.tex,50,781,49,42083088
update-file,secs/multi.tex,1,1217,50,52835093
update-file,secs/multi.tex,2,1217,50,29680452
update-file,secs/multi.tex,3,1217,50,43265625
update-file,secs/multi.tex,4,1217,50,59250948
update-file,secs/multi.tex,5,1217,50,109388490
update-file,secs/multi.tex,6,1217,50,29618219
update-file,secs/multi.tex,7,1217,50,62126238
update-file,secs/multi.tex,8,1217,50,56996598
update-file,secs/multi.tex,9,1217,50,47717362
update-file,secs/multi.tex,10,1217,50,23782878
update-file,secs/multi.tex,11,1217,50,52429348
update-file,secs/multi.tex,12,1217,50,32704993
update-file,secs/multi.tex,13,1217,50,32479067
update-file,secs/multi.tex,14,1217,50,30130184
update-file,secs/multi.tex,15,1217,50,25490902
update-file,secs/multi.tex,16,1217,50,37888715
update-file,secs/multi.tex,17,1217,50,31333703
update-file,secs/multi.tex,18,1217,50,29401975
update-file,secs/multi.tex,19,1217,50,79247811
update-file,secs/multi.tex,20,1217,50,23763850
update-file,secs/multi.tex,21,1217,50,28760454
update-file,secs/multi.tex,22,1217,50,40372336
update-file,secs/multi.tex,23,1217,50,55413529
update-file,secs/multi.tex,24,1217,50,26182680
update-file,secs/multi.tex,25,1217,50,50280286
update-file,secs/multi.tex,26,1217,50,27582941
update-file,secs/multi.tex,27,1217,50,43325019
update-file,secs/multi.tex,28,1217,50,29273186
update-file,secs/multi.tex,29,1217,50,28088078
update-file,secs/multi.tex,30,1217,50,28852891
update-file,secs/multi.tex,31,1217,50,26731692
update-file,secs/multi.tex,32,1217,50,42894311
update-file,secs/multi.tex,33,1217,50,62648907
update-file,secs/multi.tex,34,1217,50,33158420
update-file,secs/multi.tex,35,1217,50,54256568
update-file,secs/multi.tex,36,1217,50,54250948
update-file,secs/multi.tex,37,1217,50,28338513
update-file,secs/multi.tex,38,1217,50,30610462
update-file,secs/multi.tex,39,1217,50,41517077
update-file,secs/multi.tex,40,1217,50,37686595
update-file,secs/multi.tex,41,1217,50,82729382
update-file,secs/multi.tex,42,1217,50,33780549
update-file,secs/multi.tex,43,1217,50,41531823
update-file,secs/multi.tex,44,1217,50,32789976
update-file,secs/multi.tex,45,1217,50,64549358
update-file,secs/multi.tex,46,1217,50,46977040
update-file,secs/multi.tex,47,1217,50,58933504
update-file,secs/multi.tex,48,1217,50,31009097
update-file,secs/multi.tex,49,1217,50,210424563
update-file,secs/multi.tex,50,1217,50,41600570
update-file,secs/core.tex,1,12157,49,96550190
update-file,secs/core.tex,2,12157,49,71545265
update-file,secs/core.tex,3,12157,49,51595325
update-file,secs/core.tex,4,12157,49,45230017
update-file,secs/core.tex,5,12157,49,49426457
update-file,secs/core.tex,6,12157,49,30378160
update-file,secs/core.tex,7,12157,49,86564798
update-file,secs/core.tex,8,12157,49,82976838
update-file,secs/core.tex,9,12157,49,33921839
update-file,secs/core.tex,10,12157,49,94333721
update-file,secs/core.tex,11,12157,49,52669644
update-file,secs/core.tex,12,12157,49,49414560
update-file,secs/core.tex,13,12157,49,72284017
update-file,secs/core.tex,14,12157,49,33853268
update-file,secs/core.tex,15,12157,49,73813402
update-file,secs/core.tex,16,12157,49,51726339
update-file,secs/core.tex,17,12157,49,93580057
update-file,secs/core.tex,18,12157,49,30304256
update-file,secs/core.tex,19,12157,49,31817332
update-file,secs/core.tex,20,12157,49,57739161
update-file,secs/core.tex,21,12157,49,66780162
update-file,secs/core.tex,22,12157,49,38695853
update-file,secs/core.tex,23,12157,49,47544142
update-file,secs/core.tex,24,12157,49,57696616
update-file,secs/core.tex,25,12157,49,84367143
update-file,secs/core.tex,26,12157,49,35118993
update-file,secs/core.tex,27,12157,49,123130911
update-file,secs/core.tex,28,12157,49,87523943
update-file,secs/core.tex,29,12157,49,74950721
update-file,secs/core.tex,30,12157,49,124921622
update-file,secs/core.tex,31,12157,49,41505174
update-file,secs/core.tex,32,12157,49,110783584
update-file,secs/core.tex,33,12157,49,89500628
update-file,secs/core.tex,34,12157,49,33522470
update-file,secs/core.tex,35,12157,49,97890076
update-file,secs/core.tex,36,12157,49,36651611
update-file,secs/core.tex,37,12157,49,45006022
update-file,secs/core.tex,38,12157,49,91215132
update-file,secs/core.tex,39,12157,49,51251228
update-file,secs/core.tex,40,12157,49,45592842
update-file,secs/core.tex,41,12157,49,77022590
update-file,secs/core.tex,42,12157,49,89725751
update-file,secs/core.tex,43,12157,49,31809957
update-file,secs/core.tex,44,12157,49,100929591
update-file,secs/core.tex,45,12157,49,83416513
update-file,secs/core.tex,46,12157,49,31699858
update-file,secs/core.tex,47,12157,49,40237632
update-file,secs/core.tex,48,12157,49,66129161
update-file,secs/core.tex,49,12157,49,65544313
update-file,secs/core.tex,50,12157,49,25723919
update-file,sampleteaser.pdf,1,585430,52,105952024
update-file,sampleteaser.pdf,2,585430,52,101072646
update-file,sampleteaser.pdf,3,585430,52,117174551
update-file,sampleteaser.pdf,4,585430,52,119463746
update-file,sampleteaser.pdf,5,585430,52,173009894
update-file,sampleteaser.pdf,6,585430,52,143301899
update-file,sampleteaser.pdf,7,585430,52,106667298
update-file,sampleteaser.pdf,8,585430,52,133558715
update-file,sampleteaser.pdf,9,585430,52,93307888
update-file,sampleteaser.pdf,10,585430,52,70042296
update-file,sampleteaser.pdf,11,585430,52,163863723
update-file,sampleteaser.pdf,12,585430,52,175651649
update-file,sampleteaser.pdf,13,585430,52,126338342
update-file,sampleteaser.pdf,14,585430,52,99993460
update-file,sampleteaser.pdf,15,585430,52,200422499
update-file,sampleteaser.pdf,16,585430,52,128348535
update-file,sampleteaser.pdf,17,585430,52,75846676
update-file,sampleteaser.pdf,18,585430,52,89756597
update-file,sampleteaser.pdf,19,585430,52,191196203
update-file,sampleteaser.pdf,20,585430,52,117463227
update-file,sampleteaser.pdf,21,585430,52,205340834
update-file,sampleteaser.pdf,22,585430,52,59610858
update-file,sampleteaser.pdf,23,585430,52,246529908
update-file,sampleteaser.pdf,24,585430,52,160951931
update-file,sampleteaser.pdf,25,585430,52,128253508
update-file,sampleteaser.pdf,26,585430,52,98339334
update-file,sampleteaser.pdf,27,585430,52,131111090
update-file,sampleteaser.pdf,28,585430,52,198669583
update-file,sampleteaser.pdf,29,585430,52,111016345
update-file,sampleteaser.pdf,30,585430,52,167310334
update-file,sampleteaser.pdf,31,585430,52,155504782
update-file,sampleteaser.pdf,32,585430,52,115274806
update-file,sampleteaser.pdf,33,585430,52,120368145
update-file,sampleteaser.pdf,34,585430,52,91208020
update-file,sampleteaser.pdf,35,585430,52,122038945
update-file,sampleteaser.pdf,36,585430,52,194894612
update-file,sampleteaser.pdf,37,585430,52,229663672
update-file,sampleteaser.pdf,38,585430,52,97249765
update-file,sampleteaser.pdf,39,585430,52,92953148
update-file,sampleteaser.pdf,40,585430,52,106512573
update-file,sampleteaser.pdf,41,585430,52,337221825
update-file,sampleteaser.pdf,42,585430,52,39702761
update-file,sampleteaser.pdf,43,585430,52,160057256
update-file,sampleteaser.pdf,44,585430,52,130332669
update-file,sampleteaser.pdf,45,585430,52,118378861
update-file,sampleteaser.pdf,46,585430,52,122895427
update-file,sampleteaser.pdf,47,585430,52,246868821
update-file,sampleteaser.pdf,48,585430,52,142801837
update-file,sampleteaser.pdf,49,585430,52,119945688
update-file,sampleteaser.pdf,50,585430,52,107390796
update-file,secs/acks.tex,1,62,767,1397602
update-file,secs/acks.tex,2,62,767,1358125
update-file,secs/acks.tex,3,62,767,1357220
update-file,secs/acks.tex,4,62,767,1643455
update-file,secs/acks.tex,5,62,767,1277159
update-file,secs/acks.tex,6,62,767,1194534
update-file,secs/acks.tex,7,62,767,3436888
update-file,secs/acks.tex,8,62,767,3997872
update-file,secs/acks.tex,9,62,767,1430698
update-file,secs/acks.tex,10,62,767,2638466
update-file,secs/acks.tex,11,62,767,3134774
update-file,secs/acks.tex,12,62,767,1305924
update-file,secs/acks.tex,13,62,767,1318781
update-file,secs/acks.tex,14,62,767,1285570
update-file,secs/acks.tex,15,62,767,1300381
update-file,secs/acks.tex,16,62,767,1372305
update-file,secs/acks.tex,17,62,767,1386547
update-file,secs/acks.tex,18,62,767,1332822
update-file,secs/acks.tex,19,62,767,1767937
update-file,secs/acks.tex,20,62,767,1388903
update-file,secs/acks.tex,21,62,767,1431675
update-file,secs/acks.tex,22,62,767,1133903
update-file,secs/acks.tex,23,62,767,1287742
update-file,secs/acks.tex,24,62,767,1226877
update-file,secs/acks.tex,25,62,767,1280988
update-file,secs/acks.tex,26,62,767,1201193
update-file,secs/acks.tex,27,62,767,4258061
update-file,secs/acks.tex,28,62,767,2626678
update-file,secs/acks.tex,29,62,767,1501674
update-file,secs/acks.tex,30,62,767,4294661
update-file,secs/acks.tex,31,62,767,1423125
update-file,secs/acks.tex,32,62,767,1372780
update-file,secs/acks.tex,33,62,767,1326463
update-file,secs/acks.tex,34,62,767,1730695
