type,input,repetition,input-size,output-size,time
update-file,secs/acks.tex,1,781,42,68402793
update-file,secs/acks.tex,2,781,42,64677751
update-file,secs/acks.tex,3,781,42,147167626
update-file,secs/acks.tex,4,781,42,54712993
update-file,secs/acks.tex,5,781,42,111369212
update-file,secs/acks.tex,6,781,42,46648660
update-file,secs/acks.tex,7,781,42,48057753
update-file,secs/acks.tex,8,781,42,43970038
update-file,secs/acks.tex,9,781,42,48237435
update-file,secs/acks.tex,10,781,42,110282372
update-file,secs/acks.tex,11,781,42,58287879
update-file,secs/acks.tex,12,781,42,46321609
update-file,secs/acks.tex,13,781,42,111137516
update-file,secs/acks.tex,14,781,42,70521557
update-file,secs/acks.tex,15,781,42,44304010
update-file,secs/acks.tex,16,781,42,52304704
update-file,secs/acks.tex,17,781,42,44437689
update-file,secs/acks.tex,18,781,42,42241859
update-file,secs/acks.tex,19,781,42,44491175
update-file,secs/acks.tex,20,781,42,57823470
update-file,secs/acks.tex,21,781,42,56124040
update-file,secs/acks.tex,22,781,42,45255711
update-file,secs/acks.tex,23,781,42,176307530
update-file,secs/acks.tex,24,781,42,89953071
update-file,secs/acks.tex,25,781,42,54688687
update-file,secs/acks.tex,26,781,42,62194428
update-file,secs/acks.tex,27,781,42,52887798
update-file,secs/acks.tex,28,781,42,50270349
update-file,secs/acks.tex,29,781,42,49845928
update-file,secs/acks.tex,30,781,42,42379273
update-file,secs/acks.tex,31,781,42,42217358
update-file,secs/acks.tex,32,781,42,67711917
update-file,secs/acks.tex,33,781,42,56536125
update-file,secs/acks.tex,34,781,42,69557392
update-file,secs/acks.tex,35,781,42,40850455
update-file,secs/acks.tex,36,781,42,49614370
update-file,secs/acks.tex,37,781,42,70677596
update-file,secs/acks.tex,38,781,42,119712203
update-file,secs/acks.tex,39,781,42,63602981
update-file,secs/acks.tex,40,781,42,91747206
update-file,secs/acks.tex,41,781,42,46437253
update-file,secs/acks.tex,42,781,42,44968670
update-file,secs/acks.tex,43,781,42,47432120
update-file,secs/acks.tex,44,781,42,78372199
update-file,secs/acks.tex,45,781,42,44849731
update-file,secs/acks.tex,46,781,42,50077112
update-file,secs/acks.tex,47,781,42,80552711
update-file,secs/acks.tex,48,781,42,65327793
update-file,secs/acks.tex,49,781,42,71523606
update-file,secs/acks.tex,50,781,42,109191838
update-file,secs/multi.tex,1,1217,43,48574938
update-file,secs/multi.tex,2,1217,43,58141630
update-file,secs/multi.tex,3,1217,43,65841905
update-file,secs/multi.tex,4,1217,43,55308322
update-file,secs/multi.tex,5,1217,43,63100224
update-file,secs/multi.tex,6,1217,43,41798806
update-file,secs/multi.tex,7,1217,43,47761697
update-file,secs/multi.tex,8,1217,43,125307856
update-file,secs/multi.tex,9,1217,43,44287739
update-file,secs/multi.tex,10,1217,43,64149505
update-file,secs/multi.tex,11,1217,43,56434836
update-file,secs/multi.tex,12,1217,43,40019916
update-file,secs/multi.tex,13,1217,43,115253812
update-file,secs/multi.tex,14,1217,43,131606631
update-file,secs/multi.tex,15,1217,43,78786571
update-file,secs/multi.tex,16,1217,43,48124092
update-file,secs/multi.tex,17,1217,43,95077549
update-file,secs/multi.tex,18,1217,43,45379299
update-file,secs/multi.tex,19,1217,43,41770871
update-file,secs/multi.tex,20,1217,43,41101692
update-file,secs/multi.tex,21,1217,43,67437751
update-file,secs/multi.tex,22,1217,43,73636789
update-file,secs/multi.tex,23,1217,43,61324984
update-file,secs/multi.tex,24,1217,43,42913897
update-file,secs/multi.tex,25,1217,43,51895501
update-file,secs/multi.tex,26,1217,43,47610948
update-file,secs/multi.tex,27,1217,43,75996622
update-file,secs/multi.tex,28,1217,43,44582703
update-file,secs/multi.tex,29,1217,43,58190274
update-file,secs/multi.tex,30,1217,43,37252476
update-file,secs/multi.tex,31,1217,43,52651760
update-file,secs/multi.tex,32,1217,43,88453702
update-file,secs/multi.tex,33,1217,43,41752211
update-file,secs/multi.tex,34,1217,43,67642745
update-file,secs/multi.tex,35,1217,43,126868297
update-file,secs/multi.tex,36,1217,43,45765481
update-file,secs/multi.tex,37,1217,43,58915085
update-file,secs/multi.tex,38,1217,43,50379830
update-file,secs/multi.tex,39,1217,43,45938348
update-file,secs/multi.tex,40,1217,43,43708433
update-file,secs/multi.tex,41,1217,43,83848192
update-file,secs/multi.tex,42,1217,43,91991632
update-file,secs/multi.tex,43,1217,43,201370923
update-file,secs/multi.tex,44,1217,43,44609906
update-file,secs/multi.tex,45,1217,43,91619558
update-file,secs/multi.tex,46,1217,43,44203222
update-file,secs/multi.tex,47,1217,43,64108271
update-file,secs/multi.tex,48,1217,43,55060359
update-file,secs/multi.tex,49,1217,43,94324379
update-file,secs/multi.tex,50,1217,43,42270235
update-file,secs/core.tex,1,12157,42,45706276
update-file,secs/core.tex,2,12157,42,74480548
update-file,secs/core.tex,3,12157,42,82460010
update-file,secs/core.tex,4,12157,42,48986582
update-file,secs/core.tex,5,12157,42,92473436
update-file,secs/core.tex,6,12157,42,156513002
update-file,secs/core.tex,7,12157,42,81132087
update-file,secs/core.tex,8,12157,42,95946014
update-file,secs/core.tex,9,12157,42,65614670
update-file,secs/core.tex,10,12157,42,49755067
update-file,secs/core.tex,11,12157,42,67103668
update-file,secs/core.tex,12,12157,42,134518409
update-file,secs/core.tex,13,12157,42,42350335
update-file,secs/core.tex,14,12157,42,81754641
update-file,secs/core.tex,15,12157,42,86055792
update-file,secs/core.tex,16,12157,42,74398517
update-file,secs/core.tex,17,12157,42,92310816
update-file,secs/core.tex,18,12157,42,144952046
update-file,secs/core.tex,19,12157,42,76537499
update-file,secs/core.tex,20,12157,42,155512729
update-file,secs/core.tex,21,12157,42,78443454
update-file,secs/core.tex,22,12157,42,43919038
update-file,secs/core.tex,23,12157,42,47431852
update-file,secs/core.tex,24,12157,42,70766772
update-file,secs/core.tex,25,12157,42,58821519
update-file,secs/core.tex,26,12157,42,53490871
update-file,secs/core.tex,27,12157,42,77804799
update-file,secs/core.tex,28,12157,42,98950187
update-file,secs/core.tex,29,12157,42,102048762
update-file,secs/core.tex,30,12157,42,53554738
update-file,secs/core.tex,31,12157,42,92570783
update-file,secs/core.tex,32,12157,42,123839042
update-file,secs/core.tex,33,12157,42,101908907
update-file,secs/core.tex,34,12157,42,65539597
update-file,secs/core.tex,35,12157,42,65399400
update-file,secs/core.tex,36,12157,42,89890950
update-file,secs/core.tex,37,12157,42,77855829
update-file,secs/core.tex,38,12157,42,77862971
update-file,secs/core.tex,39,12157,42,98553085
update-file,secs/core.tex,40,12157,42,69329789
update-file,secs/core.tex,41,12157,42,78729060
update-file,secs/core.tex,42,12157,42,49278911
update-file,secs/core.tex,43,12157,42,80971186
update-file,secs/core.tex,44,12157,42,83933396
update-file,secs/core.tex,45,12157,42,56804361
update-file,secs/core.tex,46,12157,42,145860026
update-file,secs/core.tex,47,12157,42,98938992
update-file,secs/core.tex,48,12157,42,56057553
update-file,secs/core.tex,49,12157,42,170787518
update-file,secs/core.tex,50,12157,42,134220337
