type,input,repetition,input-size,output-size,time
update-file,secs/acks.tex,1,781,49,37659852
update-file,secs/acks.tex,2,781,49,54097348
update-file,secs/acks.tex,3,781,49,39221580
update-file,secs/acks.tex,4,781,49,61350350
update-file,secs/acks.tex,5,781,49,113708514
update-file,secs/acks.tex,6,781,49,27857201
update-file,secs/acks.tex,7,781,49,23305720
update-file,secs/acks.tex,8,781,49,32898518
update-file,secs/acks.tex,9,781,49,34960638
update-file,secs/acks.tex,10,781,49,39759567
update-file,secs/acks.tex,11,781,49,27800674
update-file,secs/acks.tex,12,781,49,27149900
update-file,secs/acks.tex,13,781,49,24922392
update-file,secs/acks.tex,14,781,49,27687752
update-file,secs/acks.tex,15,781,49,23324110
update-file,secs/acks.tex,16,781,49,25790021
update-file,secs/acks.tex,17,781,49,30407674
update-file,secs/acks.tex,18,781,49,139600524
update-file,secs/acks.tex,19,781,49,59423877
update-file,secs/acks.tex,20,781,49,24013659
update-file,secs/acks.tex,21,781,49,42623794
update-file,secs/acks.tex,22,781,49,27939111
update-file,secs/acks.tex,23,781,49,39537407
update-file,secs/acks.tex,24,781,49,44544970
update-file,secs/acks.tex,25,781,49,27890347
update-file,secs/acks.tex,26,781,49,25128813
update-file,secs/acks.tex,27,781,49,23670301
update-file,secs/acks.tex,28,781,49,26853568
update-file,secs/acks.tex,29,781,49,57159231
update-file,secs/acks.tex,30,781,49,45332651
update-file,secs/acks.tex,31,781,49,80694626
update-file,secs/acks.tex,32,781,49,26919647
update-file,secs/acks.tex,33,781,49,23546293
update-file,secs/acks.tex,34,781,49,47618420
update-file,secs/acks.tex,35,781,49,43044551
update-file,secs/acks.tex,36,781,49,35032084
update-file,secs/acks.tex,37,781,49,24951588
update-file,secs/acks.tex,38,781,49,46704028
update-file,secs/acks.tex,39,781,49,38017765
update-file,secs/acks.tex,40,781,49,26195565
update-file,secs/acks.tex,41,781,49,42232012
update-file,secs/acks.tex,42,781,49,27017847
update-file,secs/acks.tex,43,781,49,36067395
update-file,secs/acks.tex,44,781,49,24062133
update-file,secs/acks.tex,45,781,49,26473624
update-file,secs/acks.tex,46,781,49,76031366
update-file,secs/acks.tex,47,781,49,26309179
update-file,secs/acks.tex,48,781,49,47442381
update-file,secs/acks.tex,49,781,49,76455824
update-file,secs/acks.tex,50,781,49,26900334
update-file,secs/multi.tex,1,1217,50,24518917
update-file,secs/multi.tex,2,1217,50,24324374
update-file,secs/multi.tex,3,1217,50,24078669
update-file,secs/multi.tex,4,1217,50,24496074
update-file,secs/multi.tex,5,1217,50,36136985
update-file,secs/multi.tex,6,1217,50,25166983
update-file,secs/multi.tex,7,1217,50,26888713
update-file,secs/multi.tex,8,1217,50,25243292
update-file,secs/multi.tex,9,1217,50,33399874
update-file,secs/multi.tex,10,1217,50,27363071
update-file,secs/multi.tex,11,1217,50,84719831
update-file,secs/multi.tex,12,1217,50,26012799
update-file,secs/multi.tex,13,1217,50,56304998
update-file,secs/multi.tex,14,1217,50,22630350
update-file,secs/multi.tex,15,1217,50,53823397
update-file,secs/multi.tex,16,1217,50,33696274
