size,repetition,threads,time
1048576,0,1,123766460
1048576,1,1,80664253
1048576,2,1,117824916
1048576,3,1,67124699
1048576,4,1,131911094
1048576,5,1,106548286
1048576,6,1,111330514
1048576,7,1,123793053
1048576,8,1,95383009
1048576,9,1,71809085
1048576,10,1,129790955
1048576,11,1,71793212
1048576,12,1,84586371
1048576,13,1,109866326
1048576,14,1,36943705
1048576,15,1,98174385
1048576,16,1,98608390
1048576,17,1,81620727
1048576,18,1,105455940
1048576,19,1,80095879
5242880,0,1,161570992
5242880,1,1,159172589
5242880,2,1,158785978
5242880,3,1,172331887
5242880,4,1,167160518
5242880,5,1,235054433
5242880,6,1,162163191
5242880,7,1,201045322
5242880,8,1,173583557
5242880,9,1,194061917
5242880,10,1,183573627
5242880,11,1,200919394
5242880,12,1,137770558
5242880,13,1,242138288
5242880,14,1,151556763
5242880,15,1,208966832
5242880,16,1,187576844
5242880,17,1,167511029
5242880,18,1,460302232
5242880,19,1,172101832
10485760,0,1,274737808
10485760,1,1,245002603
10485760,2,1,237115468
10485760,3,1,232746857
10485760,4,1,745492671
10485760,5,1,283267579
10485760,6,1,217965151
10485760,7,1,216173149
10485760,8,1,259240938
10485760,9,1,230579206
10485760,10,1,216647030
10485760,11,1,263843996
10485760,12,1,224653270
10485760,13,1,228906492
10485760,14,1,256076731
10485760,15,1,221832030
10485760,16,1,204608215
10485760,17,1,273691480
10485760,18,1,179889613
10485760,19,1,231069901
52428800,0,1,842320572
52428800,1,1,915070746
52428800,2,1,952209518
52428800,3,1,925551969
52428800,4,1,900664497
52428800,5,1,909882662
52428800,6,1,906059929
52428800,7,1,963903611
52428800,8,1,1031867794
52428800,9,1,901056885
52428800,10,1,903384555
52428800,11,1,875893839
52428800,12,1,945892435
52428800,13,1,922072643
52428800,14,1,869705578
52428800,15,1,907706490
52428800,16,1,884281383
52428800,17,1,925116274
52428800,18,1,861174257
52428800,19,1,907653004
104857600,0,1,1656611257
104857600,1,1,1690777019
104857600,2,1,1721181416
104857600,3,1,1948315794
104857600,4,1,1682653281
104857600,5,1,1733731255
104857600,6,1,1910196370
104857600,7,1,1747182321
104857600,8,1,1717383886
104857600,9,1,1692795134
