size,repetition,threads,time
10485760,1,8,235063563
10485760,2,8,224104929
10485760,3,8,216578231
10485760,4,8,210656749
10485760,5,8,209567080
10485760,6,8,458959529
10485760,7,8,204277613
10485760,8,8,195361879
10485760,9,8,222450216
10485760,10,8,249827836
10485760,11,8,205071540
10485760,12,8,258206994
10485760,13,8,233736177
10485760,14,8,193822880
10485760,15,8,215192339
10485760,16,8,204536916
10485760,17,8,248910598
10485760,18,8,226403083
10485760,19,8,213028072
52428800,0,8,662581340
52428800,1,8,654285717
52428800,2,8,662801366
52428800,3,8,670065462
52428800,4,8,607677977
52428800,5,8,636223876
52428800,6,8,664064103
52428800,7,8,661790693
52428800,8,8,672604598
52428800,9,8,671537655
52428800,10,8,662030337
52428800,11,8,685394535
52428800,12,8,623601014
52428800,13,8,653069103
52428800,14,8,653932679
52428800,15,8,614279700
52428800,16,8,645789699
52428800,17,8,627357228
52428800,18,8,619343275
52428800,19,8,710649998
104857600,0,8,1301846809
104857600,1,8,1158188453
104857600,2,8,1213557278
104857600,3,8,1319352082
104857600,4,8,1264043937
104857600,5,8,1160278840
104857600,6,8,1254964990
104857600,7,8,1201621255
104857600,8,8,1213532179
104857600,9,8,1216059963
104857600,10,8,1163388956
104857600,11,8,1195973945
104857600,12,8,1207032373
104857600,13,8,1314747556
104857600,14,8,1211112739
104857600,15,8,1322304982
104857600,16,8,1193510289
104857600,17,8,1154991848
104857600,18,8,1206844655
104857600,19,8,3658401936
1048576,0,16,8699802064
1048576,1,16,8737225748
1048576,2,16,9505060436
1048576,3,16,9970616819
1048576,4,16,9053150036
1048576,5,16,45003456857
1048576,6,16,13077355671
1048576,7,16,8908108072
1048576,8,16,8127642677
1048576,9,16,12745605822
1048576,10,16,6499777317
1048576,11,16,8620218487
1048576,12,16,14533728338
1048576,13,16,14406345296
1048576,14,16,11939668905
1048576,15,16,8743784522
1048576,16,16,10213285662
1048576,17,16,8950789135
1048576,18,16,9511163237
1048576,19,16,9307760274
5242880,0,16,15496124641
5242880,1,16,4798306405
5242880,2,16,221164652
5242880,3,16,427592093
5242880,4,16,153826473
5242880,5,16,213638912
5242880,6,16,462964901
5242880,7,16,196664648
5242880,8,16,181520179
5242880,9,16,168529379
5242880,10,16,213797051
5242880,11,16,208951055
5242880,12,16,150699111
5242880,13,16,200313168
5242880,14,16,147329201
5242880,15,16,178336800
5242880,16,16,270172823
5242880,17,16,207692387
5242880,18,16,192912652
5242880,19,16,196246925
10485760,0,16,184894671
10485760,1,16,218627904
10485760,2,16,212326585
10485760,3,16,192239265
10485760,4,16,265526981
10485760,5,16,217132458
10485760,6,16,218218639
10485760,7,16,212915012
10485760,8,16,195929802
10485760,9,16,216945919
10485760,10,16,203380461
10485760,11,16,439895921
10485760,12,16,322087543
10485760,13,16,241269096
10485760,14,16,361067184
10485760,15,16,283294223
10485760,16,16,385225147
10485760,17,16,209056289
10485760,18,16,203894679
10485760,19,16,202419011
52428800,0,16,719167169
52428800,1,16,709836722
52428800,2,16,679826820
52428800,3,16,765518453
52428800,4,16,695947712
52428800,5,16,638142576
52428800,6,16,645238267
52428800,7,16,701759313
52428800,8,16,640067903
52428800,9,16,675151436
52428800,10,16,668135736
52428800,11,16,688216994
52428800,12,16,656374477
52428800,13,16,685264008
52428800,14,16,694278414
52428800,15,16,698644154
52428800,16,16,674017884
52428800,17,16,819075358
52428800,18,16,662681481
52428800,19,16,668303986
104857600,0,16,1178562961
104857600,1,16,1230426498
104857600,2,16,1199837482
104857600,3,16,1170207542
104857600,4,16,1224790952
104857600,5,16,1274986022
104857600,6,16,1193342721
104857600,7,16,1237754274
104857600,8,16,1217233347
104857600,9,16,1151763376
104857600,10,16,1197118644
104857600,11,16,2059856060
104857600,12,16,1290824016
104857600,13,16,1282002874
104857600,14,16,1207448141
104857600,15,16,1321279111
104857600,16,16,1346853005
104857600,17,16,1211865706
104857600,18,16,1212226108
209715200,0,1,2923830578
209715200,1,1,2925087310
209715200,2,1,2999875153
209715200,3,1,2928253914
209715200,4,1,2932831843
209715200,5,1,2986998021
209715200,6,1,2882976969
209715200,7,1,2912619565
209715200,8,1,2915809254
209715200,9,1,2962258997
209715200,10,1,2960663649
209715200,11,1,2957435546
209715200,12,1,2926885683
209715200,13,1,2950549342
209715200,14,1,2928076530
209715200,15,1,2901115128
209715200,16,1,2919835657
209715200,17,1,2947444536
209715200,18,1,2940252640
209715200,19,1,2955660612
209715200,0,2,2455928299
209715200,1,2,2506042233
209715200,2,2,2508770086
209715200,3,2,2490116495
209715200,4,2,2485629993
209715200,5,2,3947567375
209715200,6,2,2478004237
209715200,7,2,2508214377
209715200,8,2,2503996300
209715200,9,2,2523206582
209715200,10,2,2533434856
209715200,11,2,2490705633
209715200,12,2,2480629034
209715200,13,2,2496650043
209715200,14,2,2528103829
209715200,15,2,2505421909
209715200,16,2,2520818516
209715200,17,2,2514786847
209715200,18,2,2469177458
209715200,19,2,2501317766
209715200,0,4,2459646870
209715200,1,4,2414382267
209715200,2,4,2402330762
209715200,3,4,2450934299
209715200,4,4,2465955861
209715200,5,4,2487953629
209715200,6,4,2449348642
209715200,7,4,2453011394
209715200,8,4,2460357284
209715200,9,4,2426390679
209715200,10,4,2417593942
209715200,11,4,2452708012
209715200,12,4,2441733376
209715200,13,4,2361710328
209715200,14,4,2445407407
209715200,15,4,2444015627
209715200,16,4,2408928685
209715200,17,4,2475116754
209715200,18,4,2436724436
209715200,19,4,2437451027
209715200,0,8,2367214606
209715200,1,8,2400282655
209715200,2,8,2360996583
209715200,3,8,2392884352
209715200,4,8,2260267555
209715200,5,8,2365541220
209715200,6,8,2265184951
209715200,7,8,2400939790
209715200,8,8,2346301290
209715200,9,8,2426089522
209715200,10,8,2287968000
209715200,11,8,2421080725
209715200,12,8,2399940210
209715200,13,8,4045650698
209715200,14,8,2664309037
209715200,15,8,2491381359
209715200,16,8,2460925945
209715200,17,8,2439647753
209715200,18,8,2382107703
209715200,19,8,2353493563
209715200,0,16,9102771700
209715200,1,16,11778039880
209715200,2,16,3834241431
209715200,3,16,2448465443
209715200,4,16,2373718672
209715200,5,16,2333307585
209715200,6,16,2615109455
209715200,7,16,2385735707
209715200,8,16,2417434672
209715200,9,16,2412342673
209715200,10,16,2442780155
209715200,11,16,2373440651
209715200,12,16,2356926210
209715200,13,16,2389284963
209715200,14,16,2449116496
209715200,15,16,2436077026
209715200,16,16,2389468171
209715200,17,16,2390367921
209715200,18,16,2367113947
209715200,19,16,2415829878
104857600,19,16,1189314696
