size, repetition, time
102400,0,47109
102400,1,45683
102400,2,45425
102400,3,44532
102400,4,43781
102400,5,43404
102400,6,44612
102400,7,43994
102400,8,44286
102400,9,43228
102400,10,44473
102400,11,44018
102400,12,44062
102400,13,43161
102400,14,43458
102400,15,44362
102400,16,44732
102400,17,40149
102400,18,44251
102400,19,43841
102400,20,44127
102400,21,44173
102400,22,44067
102400,23,44321
102400,24,43188
102400,25,43539
102400,26,44480
102400,27,44042
102400,28,42987
102400,29,44377
102400,30,44053
102400,31,44115
102400,32,43344
102400,33,44685
102400,34,44362
102400,35,43346
102400,36,43957
102400,37,44097
102400,38,43130
102400,39,44260
102400,40,63039
102400,41,45399
102400,42,43886
102400,43,44492
102400,44,44001
102400,45,44099
102400,46,44164
102400,47,43855
102400,48,44017
102400,49,42920
102400,50,44255
102400,51,43620
102400,52,43615
102400,53,57803
102400,54,43563
102400,55,44134
102400,56,43290
102400,57,43901
102400,58,44405
102400,59,44001
102400,60,43876
102400,61,40156
102400,62,44218
102400,63,44635
102400,64,43892
102400,65,43518
102400,66,43195
102400,67,44777
102400,68,44201
102400,69,42890
102400,70,43585
102400,71,43531
102400,72,44372
102400,73,44055
102400,74,43864
102400,75,43962
102400,76,43764
102400,77,39964
102400,78,42831
102400,79,43689
102400,80,40469
102400,81,43066
102400,82,44518
102400,83,44260
102400,84,43081
102400,85,43440
102400,86,43726
102400,87,43803
102400,88,43720
102400,89,43738
102400,90,44714
102400,91,44087
102400,92,43415
102400,93,43757
102400,94,39798
102400,95,44299
102400,96,42972
102400,97,43737
102400,98,39903
102400,99,40219
