size, repetition, time
1048576,0,327037
1048576,1,284331
1048576,2,298759
1048576,3,280676
1048576,4,283807
1048576,5,278941
1048576,6,289491
1048576,7,279667
1048576,8,282566
1048576,9,280517
1048576,10,283897
1048576,11,284763
1048576,12,284232
1048576,13,279624
1048576,14,306005
1048576,15,287746
1048576,16,336034
1048576,17,279485
1048576,18,308489
1048576,19,371354
1048576,20,288564
1048576,21,278835
1048576,22,276762
1048576,23,286427
1048576,24,288389
1048576,25,275187
1048576,26,286941
1048576,27,304945
1048576,28,285808
1048576,29,297656
1048576,30,276447
1048576,31,284527
1048576,32,277668
1048576,33,278765
1048576,34,282982
1048576,35,284903
1048576,36,277723
1048576,37,281381
1048576,38,283907
1048576,39,279288
1048576,40,285050
1048576,41,297006
1048576,42,276420
1048576,43,277621
1048576,44,286296
1048576,45,277032
1048576,46,283217
1048576,47,279960
1048576,48,283489
1048576,49,282080
1048576,50,281501
1048576,51,309452
1048576,52,281118
1048576,53,289376
1048576,54,307283
1048576,55,410758
1048576,56,287290
1048576,57,298940
1048576,58,290782
1048576,59,282707
1048576,60,279227
1048576,61,278625
1048576,62,281356
1048576,63,285982
1048576,64,286688
1048576,65,284740
1048576,66,284188
1048576,67,288694
1048576,68,283869
1048576,69,298840
1048576,70,281160
1048576,71,296459
1048576,72,282452
1048576,73,277962
1048576,74,287530
1048576,75,285903
1048576,76,280047
1048576,77,286767
1048576,78,285238
1048576,79,283278
1048576,80,285369
1048576,81,277499
1048576,82,280931
1048576,83,306816
1048576,84,288147
1048576,85,295389
1048576,86,321122
1048576,87,283157
1048576,88,284716
1048576,89,302785
1048576,90,351378
1048576,91,285982
1048576,92,290535
1048576,93,279230
1048576,94,281442
1048576,95,286704
1048576,96,302437
1048576,97,285344
1048576,98,279449
1048576,99,288048
