size, repetition, time
5242880,0,1899616
5242880,1,1758728
5242880,2,1546295
5242880,3,1477675
5242880,4,1532372
5242880,5,1568337
5242880,6,1472811
5242880,7,1427515
5242880,8,1402335
5242880,9,1362392
5242880,10,1360902
5242880,11,1398782
5242880,12,1449695
5242880,13,1371593
5242880,14,1386095
5242880,15,1373826
5242880,16,1347834
5242880,17,1414137
5242880,18,1428674
5242880,19,1398292
5242880,20,1526708
5242880,21,1425633
5242880,22,1405163
5242880,23,1367079
5242880,24,1379805
5242880,25,1381134
5242880,26,1384143
5242880,27,1499028
5242880,28,1381242
5242880,29,1393696
5242880,30,1435018
5242880,31,1468983
5242880,32,1383086
5242880,33,1373444
5242880,34,1425415
5242880,35,1474360
5242880,36,1380607
5242880,37,1355233
5242880,38,1331853
5242880,39,1373322
5242880,40,1437937
5242880,41,1424087
5242880,42,1560940
5242880,43,1508133
5242880,44,1442865
5242880,45,1433635
5242880,46,1351793
5242880,47,1373998
5242880,48,1475901
5242880,49,1615245
5242880,50,1531811
5242880,51,1437618
5242880,52,1426962
5242880,53,1479740
5242880,54,1558167
5242880,55,1431259
5242880,56,1500342
5242880,57,1370243
5242880,58,1348340
5242880,59,1417123
5242880,60,1360214
5242880,61,1378776
5242880,62,1336556
5242880,63,1530062
5242880,64,1380670
5242880,65,1395444
5242880,66,1324573
5242880,67,1365200
5242880,68,1352930
5242880,69,1372700
5242880,70,1501051
5242880,71,1513439
5242880,72,1345430
5242880,73,1358405
5242880,74,1331108
5242880,75,1438279
5242880,76,1439743
5242880,77,1426193
5242880,78,1526509
5242880,79,1330349
5242880,80,1323049
5242880,81,1367926
5242880,82,1365884
5242880,83,1416336
5242880,84,1404796
5242880,85,1538886
5242880,86,1335659
5242880,87,1384522
5242880,88,1343672
5242880,89,1332337
5242880,90,1354382
5242880,91,1323569
5242880,92,1376193
5242880,93,1474860
5242880,94,1364230
5242880,95,1361960
5242880,96,1460110
5242880,97,1403264
5242880,98,1379946
5242880,99,1382845
