size, repetition, time
10,0,24704
10,1,23257
10,2,22011
10,3,23730
10,4,23456
10,5,23634
10,6,23467
10,7,23348
10,8,23327
10,9,23360
10,10,23477
10,11,23801
10,12,23352
10,13,23358
10,14,23252
10,15,23311
10,16,23350
10,17,23255
10,18,23341
10,19,23365
10,20,23237
10,21,23308
10,22,23343
10,23,23398
10,24,23333
10,25,23323
10,26,23338
10,27,23340
10,28,23474
10,29,23379
10,30,23308
10,31,23301
10,32,23377
10,33,23235
10,34,23556
10,35,23410
10,36,23360
10,37,23354
10,38,23798
10,39,20131
10,40,23376
10,41,23376
10,42,23352
10,43,23587
10,44,23332
10,45,23389
10,46,19802
10,47,23406
10,48,23435
10,49,23382
10,50,19245
10,51,14381
10,52,23363
10,53,52554
10,54,23731
10,55,23700
10,56,23336
10,57,23336
10,58,23298
10,59,23224
10,60,23250
10,61,23224
10,62,22899
10,63,23324
10,64,23264
10,65,23353
10,66,23201
10,67,15934
10,68,23860
10,69,23233
10,70,23261
10,71,23218
10,72,23226
10,73,23248
10,74,23249
10,75,23239
10,76,23317
10,77,23192
10,78,34551
10,79,23406
10,80,23257
10,81,23276
10,82,24169
10,83,23317
10,84,23200
10,85,23247
10,86,23363
10,87,23324
10,88,23262
10,89,23207
10,90,23332
10,91,23274
10,92,23282
10,93,23232
10,94,23293
10,95,22838
10,96,23319
10,97,22832
10,98,23262
10,99,18759
