size,repetition,time
10,0,291775
10,1,99048
10,2,98389
10,3,92348
10,4,95448
10,5,73069
10,6,69117
10,7,69223
10,8,68973
10,9,68191
10,10,69740
10,11,67989
10,12,67218
10,13,67572
10,14,67083
10,15,65242
10,16,65817
10,17,67050
10,18,67428
10,19,68257
10,20,67055
10,21,67153
10,22,66998
10,23,66772
10,24,66924
10,25,66762
10,26,67216
10,27,67553
10,28,67173
10,29,67630
10,30,86874
10,31,70736
10,32,71728
10,33,70704
10,34,67502
10,35,67555
10,36,67109
10,37,66674
10,38,67659
10,39,67180
10,40,66241
10,41,67588
10,42,74574
10,43,66651
10,44,66954
10,45,66457
10,46,66509
10,47,67738
10,48,67098
10,49,66617
10,50,66142
10,51,66800
10,52,66931
10,53,66329
10,54,77823
10,55,69920
10,56,68358
10,57,72709
10,58,74990
10,59,68896
10,60,67560
10,61,68639
10,62,67822
10,63,70316
10,64,85086
10,65,70815
10,66,68298
10,67,67457
10,68,67999
10,69,67290
10,70,101107
10,71,68217
10,72,68699
10,73,67042
10,74,95599
10,75,70276
10,76,68914
10,77,69213
10,78,74842
10,79,68422
10,80,68315
10,81,68526
10,82,68025
10,83,68859
10,84,68558
10,85,69091
10,86,87208
10,87,72454
10,88,70486
10,89,69804
10,90,70260
10,91,69802
10,92,68756
10,93,69334
10,94,69553
10,95,69310
10,96,69610
10,97,71276
10,98,78898
10,99,67371
1024,0,253202
1024,1,76338
1024,2,70418
1024,3,71763
1024,4,69423
1024,5,68684
1024,6,68423
1024,7,68658
1024,8,67970
1024,9,68241
1024,10,67783
1024,11,68004
1024,12,67729
1024,13,67550
1024,14,68426
1024,15,68605
1024,16,69498
1024,17,68307
1024,18,68169
1024,19,68667
1024,20,68883
1024,21,67376
1024,22,67003
1024,23,67415
1024,24,67816
1024,25,67480
1024,26,68352
1024,27,72040
1024,28,71686
1024,29,69499
1024,30,69222
1024,31,68692
1024,32,70053
1024,33,79802
1024,34,69241
1024,35,69603
1024,36,69643
1024,37,69240
1024,38,69239
1024,39,69678
1024,40,98879
1024,41,72083
1024,42,71416
1024,43,71699
1024,44,70867
1024,45,69712
1024,46,69725
1024,47,70276
1024,48,69690
1024,49,69038
1024,50,68666
1024,51,69094
1024,52,68928
1024,53,68782
1024,54,69914
1024,55,69449
1024,56,70802
1024,57,79465
1024,58,67917
1024,59,67563
1024,60,67409
1024,61,69593
1024,62,68792
1024,63,70175
1024,64,68248
1024,65,68409
1024,66,68548
1024,67,67849
1024,68,66883
1024,69,67702
1024,70,69144
1024,71,67705
1024,72,68327
1024,73,68461
1024,74,67484
1024,75,67422
1024,76,68748
1024,77,67507
1024,78,67663
1024,79,68265
1024,80,67233
1024,81,66977
1024,82,67122
1024,83,67304
1024,84,68121
1024,85,68692
1024,86,67596
1024,87,67717
1024,88,68143
1024,89,67352
1024,90,67447
1024,91,67140
1024,92,67300
1024,93,66821
1024,94,70634
1024,95,69146
1024,96,68049
1024,97,100967
1024,98,72983
1024,99,69711
102400,0,671726
102400,1,296119
102400,2,298431
102400,3,297926
102400,4,294806
102400,5,298952
102400,6,296885
102400,7,305957
102400,8,292997
102400,9,296841
102400,10,294398
102400,11,320624
102400,12,295633
102400,13,304887
102400,14,293240
102400,15,311322
102400,16,296286
102400,17,302838
102400,18,293727
102400,19,305259
102400,20,319081
102400,21,310835
102400,22,302332
102400,23,305393
102400,24,324995
102400,25,315299
102400,26,304268
102400,27,305580
102400,28,322754
102400,29,299310
102400,30,301024
102400,31,296632
102400,32,295748
102400,33,304176
102400,34,294829
102400,35,300744
102400,36,295433
102400,37,334179
102400,38,306327
102400,39,311158
102400,40,301410
102400,41,307785
102400,42,313788
102400,43,295054
102400,44,294928
102400,45,295094
102400,46,292026
102400,47,304058
102400,48,299833
102400,49,295951
102400,50,317801
102400,51,302508
102400,52,294222
102400,53,301354
102400,54,293516
102400,55,298569
102400,56,293730
102400,57,299883
102400,58,302907
102400,59,293103
102400,60,291748
102400,61,293206
102400,62,290562
102400,63,301501
102400,64,333780
102400,65,298750
102400,66,289911
102400,67,290280
102400,68,290700
102400,69,297318
102400,70,302440
102400,71,302705
102400,72,294861
102400,73,303644
102400,74,302160
102400,75,303081
102400,76,295359
102400,77,319727
102400,78,296918
102400,79,296778
102400,80,304135
102400,81,296059
102400,82,316634
102400,83,308826
102400,84,302827
102400,85,306201
102400,86,304366
102400,87,310646
102400,88,507750
102400,89,340862
102400,90,319153
102400,91,306591
102400,92,308067
102400,93,306565
102400,94,313083
102400,95,315857
102400,96,296499
102400,97,296525
102400,98,293655
102400,99,303440
1048576,0,4607078
1048576,1,3493936
1048576,2,3898028
1048576,3,3651268
1048576,4,45485917
1048576,5,3466048
1048576,6,3519618
1048576,7,3757425
1048576,8,3669905
1048576,9,3640787
1048576,10,3737581
1048576,11,3539600
1048576,12,3956557
1048576,13,3406928
