size, repetition, time
5242880,37,37476790
5242880,38,39131094
5242880,39,38527426
5242880,40,36717973
5242880,41,38599038
5242880,42,40160491
5242880,43,36841852
5242880,44,38104590
5242880,45,38200356
5242880,46,38938497
5242880,47,35131739
5242880,48,39920256
5242880,49,40921938
5242880,50,36135498
5242880,51,36806022
5242880,52,39663805
5242880,53,40992643
5242880,54,36161598
5242880,55,40047131
5242880,56,39405568
5242880,57,35844131
5242880,58,33392837
5242880,59,37132562
5242880,60,38598410
5242880,61,34752876
5242880,62,37912848
5242880,63,35306895
5242880,64,39337638
5242880,65,39413676
5242880,66,37255237
5242880,67,33774900
5242880,68,39115249
5242880,69,37498314
5242880,70,34181447
5242880,71,35636952
5242880,72,32861047
5242880,73,37783355
5242880,74,39574783
5242880,75,36617980
5242880,76,37883235
5242880,77,30492650
5242880,78,33509063
5242880,79,39106342
5242880,80,36715857
5242880,81,34651107
5242880,82,38743186
5242880,83,34539581
5242880,84,33587367
5242880,85,36154342
5242880,86,35244746
5242880,87,29973668
5242880,88,36774585
5242880,89,35538268
5242880,90,34928246
5242880,91,36603889
5242880,92,36984563
5242880,93,34755136
5242880,94,36866629
5242880,95,38645125
5242880,96,34758960
5242880,97,36934545
5242880,98,35148330
5242880,99,33350224
