size,repetition,time
10,0,151886
10,1,87966
10,2,88640
10,3,85519
10,4,87951
10,5,68288
10,6,64586
10,7,65259
10,8,64733
10,9,64031
10,10,64531
10,11,64013
10,12,64556
10,13,64574
10,14,64051
10,15,61765
10,16,63899
10,17,75063
10,18,79795
10,19,78777
10,20,93413
10,21,70014
10,22,64546
10,23,63895
10,24,63807
10,25,63916
10,26,63721
10,27,63670
10,28,64301
10,29,63999
10,30,63635
10,31,68807
10,32,73340
10,33,64859
10,34,64143
10,35,64962
10,36,63578
10,37,63367
10,38,63529
10,39,63307
10,40,63683
10,41,63355
10,42,63240
10,43,63659
10,44,63513
10,45,63418
10,46,63600
10,47,63885
10,48,63393
10,49,63409
10,50,64844
10,51,63428
10,52,71581
10,53,64222
10,54,63416
10,55,80312
10,56,70921
10,57,64251
10,58,63715
10,59,63995
10,60,63755
10,61,63525
10,62,63426
10,63,65798
10,64,79202
10,65,65802
10,66,63648
10,67,63335
10,68,63394
10,69,63308
10,70,64303
10,71,63476
10,72,63207
10,73,64026
10,74,63983
10,75,63770
10,76,63391
10,77,63638
10,78,63498
10,79,64823
10,80,63600
10,81,63481
10,82,63333
10,83,63331
10,84,63047
10,85,63135
10,86,63645
10,87,63133
10,88,63463
10,89,63165
10,90,63191
10,91,63350
10,92,63532
10,93,62958
10,94,64665
10,95,63425
10,96,63284
10,97,65568
10,98,63975
10,99,62959
1024,0,70843
1024,1,65784
1024,2,65741
1024,3,65614
1024,4,65007
1024,5,65122
1024,6,65591
1024,7,65999
1024,8,66197
1024,9,67910
1024,10,65357
1024,11,64516
1024,12,64754
1024,13,66216
1024,14,73870
1024,15,65138
1024,16,91235
1024,17,68835
1024,18,66520
1024,19,67192
1024,20,66467
1024,21,66244
1024,22,66519
1024,23,65640
1024,24,67298
1024,25,66491
1024,26,66939
1024,27,70363
1024,28,69345
1024,29,66893
1024,30,65844
1024,31,65948
1024,32,66054
1024,33,66352
1024,34,66269
1024,35,66030
1024,36,65908
1024,37,67084
1024,38,65936
1024,39,65785
1024,40,65965
1024,41,65495
1024,42,65926
1024,43,65682
1024,44,65545
1024,45,65640
1024,46,65471
1024,47,65302
1024,48,66075
1024,49,65630
1024,50,65601
1024,51,66218
1024,52,67214
1024,53,66546
1024,54,67608
1024,55,65877
1024,56,65474
1024,57,65799
1024,58,66249
1024,59,66077
1024,60,66315
1024,61,68121
1024,62,66590
1024,63,66399
1024,64,65819
1024,65,66959
1024,66,66170
1024,67,67698
1024,68,67090
1024,69,67081
1024,70,66347
1024,71,65758
1024,72,66200
1024,73,66370
1024,74,65374
1024,75,94956
1024,76,70571
1024,77,65455
1024,78,65978
1024,79,65770
1024,80,65239
1024,81,64981
1024,82,67376
1024,83,65951
1024,84,65788
1024,85,65995
1024,86,64669
1024,87,64892
1024,88,65006
1024,89,64631
1024,90,64852
1024,91,65144
1024,92,65136
1024,93,64918
1024,94,67832
1024,95,66390
1024,96,65322
1024,97,66615
1024,98,65548
1024,99,65585
102400,0,444256
102400,1,298307
102400,2,292805
102400,3,287336
102400,4,296109
102400,5,290654
102400,6,298562
102400,7,314111
102400,8,301537
102400,9,309637
102400,10,287845
102400,11,297309
102400,12,289233
102400,13,291554
102400,14,296282
102400,15,292964
102400,16,297367
102400,17,293983
102400,18,286081
102400,19,303383
102400,20,303585
102400,21,306543
102400,22,293732
102400,23,293601
102400,24,296812
102400,25,291789
102400,26,296024
102400,27,288484
102400,28,285582
102400,29,296032
102400,30,287647
102400,31,293101
102400,32,287234
102400,33,291211
102400,34,313039
102400,35,302574
102400,36,302586
102400,37,287613
102400,38,289304
102400,39,295596
102400,40,286610
102400,41,301549
102400,42,291292
102400,43,293980
102400,44,292538
102400,45,289603
102400,46,293355
102400,47,303494
102400,48,298664
102400,49,304682
102400,50,292199
102400,51,298481
102400,52,284623
102400,53,291819
102400,54,291500
102400,55,297553
102400,56,294584
102400,57,290481
102400,58,288686
102400,59,297701
102400,60,287972
102400,61,316891
102400,62,301486
102400,63,300845
102400,64,296013
102400,65,293121
102400,66,289309
102400,67,287069
102400,68,281678
102400,69,297296
102400,70,290473
102400,71,301616
102400,72,293239
102400,73,296838
102400,74,293069
102400,75,315358
102400,76,299428
102400,77,295079
102400,78,289113
102400,79,294231
102400,80,287201
102400,81,292228
102400,82,295454
102400,83,289484
102400,84,295686
102400,85,291626
102400,86,285238
102400,87,299158
102400,88,307613
102400,89,308395
102400,90,292597
102400,91,296141
102400,92,297250
102400,93,288270
102400,94,295929
102400,95,292728
102400,96,291073
102400,97,297403
102400,98,305714
102400,99,299143
1048576,0,4128924
1048576,1,3270701
1048576,2,3361636
1048576,3,3259402
1048576,4,3281998
1048576,5,3405026
1048576,6,3284610
1048576,7,3266471
1048576,8,3284779
1048576,9,3258099
1048576,10,3260254
1048576,11,3246743
1048576,12,3258633
1048576,13,3239920
1048576,14,3248877
1048576,15,3251442
1048576,16,3295795
1048576,17,3243236
1048576,18,3251109
1048576,19,3242104
1048576,20,3257876
1048576,21,3301768
1048576,22,3268075
1048576,23,3246163
1048576,24,3260212
1048576,25,3239582
1048576,26,3241469
1048576,27,3258481
1048576,28,3285089
1048576,29,3272766
1048576,30,3293687
1048576,31,3273812
1048576,32,3260832
1048576,33,3203243
1048576,34,3246032
1048576,35,3261856
1048576,36,3227846
1048576,37,3258581
1048576,38,3241618
1048576,39,3236400
1048576,40,3254957
1048576,41,3231105
1048576,42,3276541
1048576,43,3249120
1048576,44,3242841
1048576,45,3243652
1048576,46,3240985
1048576,47,3240609
1048576,48,3242121
1048576,49,3220471
1048576,50,3248803
1048576,51,3227813
1048576,52,3250864
1048576,53,3262080
1048576,54,3298054
1048576,55,3227535
1048576,56,3239365
1048576,57,3247348
1048576,58,3269345
1048576,59,3252843
1048576,60,3259627
1048576,61,3250496
1048576,62,3253329
1048576,63,3236462
1048576,64,3259865
1048576,65,3228326
1048576,66,3269365
1048576,67,3245187
1048576,68,3263144
1048576,69,3256563
1048576,70,3236984
1048576,71,3238585
1048576,72,3293976
1048576,73,3257662
1048576,74,3265782
1048576,75,3244162
1048576,76,3251821
1048576,77,3258279
1048576,78,3243505
1048576,79,3243150
1048576,80,3257076
1048576,81,3181852
1048576,82,3194365
1048576,83,3224578
1048576,84,3259951
1048576,85,3211434
1048576,86,3238979
1048576,87,3230471
1048576,88,3254062
1048576,89,3253561
1048576,90,3230165
1048576,91,3246103
1048576,92,3257130
1048576,93,3231177
1048576,94,3248846
1048576,95,3293263
1048576,96,3240051
1048576,97,3225257
1048576,98,3207870
1048576,99,3249521
5242880,0,18455276
5242880,1,17053197
5242880,2,17291242
5242880,3,17035131
5242880,4,17248346
5242880,5,16795129
5242880,6,16631274
5242880,7,16801912
5242880,8,17289039
5242880,9,17433590
5242880,10,17376970
5242880,11,17963422
5242880,12,17478837
5242880,13,17518201
5242880,14,16717528
5242880,15,16616772
5242880,16,16569787
5242880,17,17523415
5242880,18,17072656
5242880,19,17170191
5242880,20,17261169
5242880,21,17187147
5242880,22,16747661
5242880,23,16661745
5242880,24,17329970
5242880,25,17200191
5242880,26,16689115
5242880,27,16685304
5242880,28,16699140
5242880,29,16676197
5242880,30,16585283
5242880,31,16936151
5242880,32,16919150
5242880,33,17263024
5242880,34,17355469
5242880,35,17793971
5242880,36,17753650
5242880,37,16697415
5242880,38,17082188
5242880,39,16793046
5242880,40,17503404
5242880,41,17817601
5242880,42,17704674
5242880,43,17051022
5242880,44,17432997
5242880,45,17109092
5242880,46,17706062
5242880,47,16879630
5242880,48,16793771
5242880,49,17856859
5242880,50,17987183
5242880,51,17590018
5242880,52,17131486
5242880,53,16728312
5242880,54,16913382
5242880,55,16840033
5242880,56,17248463
5242880,57,17662802
5242880,58,18270079
5242880,59,18192280
5242880,60,17660293
5242880,61,17726364
5242880,62,18171012
5242880,63,17732612
5242880,64,17458320
5242880,65,17706269
5242880,66,17779274
5242880,67,18200243
5242880,68,18241667
5242880,69,18126243
5242880,70,18227209
5242880,71,17858696
5242880,72,17378137
5242880,73,17255952
5242880,74,16730479
5242880,75,16538628
5242880,76,17414485
5242880,77,17484241
5242880,78,17542641
