size,msg,repetition,time
10,1,0,746868
10,1,1,881906
10,1,2,719914
10,1,3,724619
10,1,4,707522
10,1,5,702784
10,1,6,715052
10,1,7,715779
10,1,8,778117
10,1,9,707068
10,1,10,713774
10,1,11,934707
10,1,12,722822
10,1,13,711028
10,1,14,720005
10,1,15,764727
10,1,16,767123
10,1,17,709469
10,1,18,706780
10,1,19,706821
10,1,20,718760
10,1,21,705540
10,1,22,735591
10,1,23,876847
10,1,24,955933
10,1,25,783243
10,1,26,763868
10,1,27,769988
10,1,28,949741
10,1,29,723536
10,1,30,725319
10,1,31,702156
10,1,32,1036302
10,1,33,1081933
10,1,34,734850
10,1,35,723691
10,1,36,753895
10,1,37,764730
10,1,38,718877
10,1,39,717898
10,1,40,720037
10,1,41,724758
10,1,42,743327
10,1,43,748464
10,1,44,770442
10,1,45,740381
10,1,46,740328
10,1,47,743136
10,1,48,735275
10,1,49,778093
10,1,50,728400
10,1,51,750528
10,1,52,754760
10,1,53,721820
10,1,54,737152
10,1,55,736648
10,1,56,746380
10,1,57,737164
10,1,58,823549
10,1,59,739062
10,1,60,753898
10,1,61,727164
10,1,62,784519
10,1,63,736889
10,1,64,1002754
10,1,65,746324
10,1,66,846043
10,1,67,741165
10,1,68,868254
10,1,69,744826
10,1,70,795539
10,1,71,728089
10,1,72,751558
10,1,73,764925
10,1,74,957951
10,1,75,737775
10,1,76,753805
10,1,77,733007
10,1,78,800977
10,1,79,751646
10,1,80,772377
10,1,81,739171
10,1,82,727973
10,1,83,731043
10,1,84,738303
10,1,85,728306
10,1,86,735060
10,1,87,825177
10,1,88,962754
10,1,89,1003509
10,1,90,857335
10,1,91,732312
10,1,92,715664
10,1,93,705204
10,1,94,736506
10,1,95,901414
10,1,96,921966
10,1,97,705479
10,1,98,704339
10,1,99,849273
10,10,0,8189973
10,10,1,7696996
10,10,2,7570066
10,10,3,7338117
10,10,4,7303344
10,10,5,7295611
10,10,6,7311166
10,10,7,7738180
10,10,8,7475218
10,10,9,7390189
10,10,10,7285637
10,10,11,7348393
10,10,12,7430093
10,10,13,7328560
10,10,14,7879865
10,10,15,7604763
10,10,16,7348383
10,10,17,7541715
10,10,18,7314921
10,10,19,7287525
10,10,20,7596036
10,10,21,7281862
10,10,22,7431202
10,10,23,7531620
10,10,24,8758545
10,10,25,7653346
10,10,26,7517029
10,10,27,7534310
10,10,28,7341744
10,10,29,7386108
10,10,30,7626465
10,10,31,8285766
10,10,32,7349761
10,10,33,7975239
10,10,34,7311625
10,10,35,7389206
10,10,36,7409742
10,10,37,7399711
10,10,38,7471215
10,10,39,7955503
10,10,40,8588103
10,10,41,7847174
10,10,42,7678240
10,10,43,7535699
10,10,44,7540013
10,10,45,7313233
10,10,46,8324061
10,10,47,7743876
10,10,48,7670709
10,10,49,7514266
10,10,50,7316202
10,10,51,7366818
10,10,52,7630988
10,10,53,7798591
10,10,54,7288527
10,10,55,7639301
10,10,56,7431787
10,10,57,7570422
10,10,58,7370999
10,10,59,7258116
10,10,60,7263327
10,10,61,7273679
10,10,62,7420616
10,10,63,7605490
10,10,64,7403271
10,10,65,7641567
10,10,66,7766010
10,10,67,7313615
10,10,68,7501937
10,10,69,7425533
10,10,70,7327382
10,10,71,7388166
10,10,72,7322765
10,10,73,7503928
10,10,74,7524501
10,10,75,7524265
10,10,76,7424553
10,10,77,7580392
10,10,78,7470083
10,10,79,7399402
10,10,80,7371967
10,10,81,7186538
10,10,82,7285195
10,10,83,7343645
10,10,84,7220194
10,10,85,7358344
10,10,86,7567813
10,10,87,10713116
10,10,88,7485101
10,10,89,7687482
10,10,90,7482465
10,10,91,7917763
10,10,92,7533845
10,10,93,7968669
10,10,94,8122702
10,10,95,8040322
10,10,96,10629267
10,10,97,8412236
10,10,98,7730236
10,10,99,7559423
10,25,0,18430516
10,25,1,18426006
10,25,2,18675803
10,25,3,18391415
10,25,4,18996330
10,25,5,20899078
10,25,6,18594053
10,25,7,18662503
10,25,8,18606304
10,25,9,19236010
10,25,10,19184271
10,25,11,19589197
10,25,12,18672491
10,25,13,18989308
10,25,14,19210643
10,25,15,18357154
10,25,16,18420257
10,25,17,19213195
10,25,18,18313607
10,25,19,18700232
10,25,20,18888127
10,25,21,18763796
10,25,22,19021231
10,25,23,18717884
10,25,24,19578166
10,25,25,18856748
10,25,26,18656626
10,25,27,18865285
10,25,28,18580695
10,25,29,18744518
10,25,30,18490893
10,25,31,19511816
10,25,32,18478604
10,25,33,18606488
10,25,34,18679202
10,25,35,19356543
10,25,36,18316504
10,25,37,19051765
10,25,38,20144420
10,25,39,18368489
10,25,40,18937070
10,25,41,18417842
10,25,42,19152989
10,25,43,18550067
10,25,44,18841764
10,25,45,19188968
10,25,46,18879927
10,25,47,18598607
10,25,48,18612919
10,25,49,19229437
10,25,50,19900360
10,25,51,18921097
10,25,52,21263200
10,25,53,18774478
