size,msg,repetition,time
10,25,78,606963677
10,25,79,641782812
10,25,80,550875937
10,25,81,613614770
10,25,82,653900531
10,25,83,568396054
10,25,84,607778663
10,25,85,563173188
10,25,86,744705307
10,25,87,587987885
10,25,88,607738122
10,25,89,633831364
10,25,90,606839119
10,25,91,592182594
10,25,92,569382527
10,25,93,650568537
10,25,94,657983871
10,25,95,676465074
10,25,96,574304988
10,25,97,593356334
10,25,98,610872923
10,25,99,610449082
10,50,0,1325626831
10,50,1,1178178780
10,50,2,1236116972
10,50,3,1092828173
10,50,4,1187919798
10,50,5,1072170360
10,50,6,1267140930
10,50,7,1123578365
10,50,8,1152746113
10,50,9,1083820016
10,50,10,1498505744
10,50,11,1104041762
10,50,12,1273494882
10,50,13,1122435568
10,50,14,1299793951
10,50,15,1112786738
10,50,16,1268168387
10,50,17,1094993629
10,50,18,1278754344
10,50,19,1239188950
10,50,20,1277338699
10,50,21,1189732750
10,50,22,1212860338
10,50,23,1124461548
10,50,24,1218893726
10,50,25,1213555127
10,50,26,1205099462
10,50,27,1210650572
10,50,28,1290805706
10,50,29,1237301088
10,50,30,1403216057
10,50,31,1116073590
10,50,32,1330837704
10,50,33,1167216296
10,50,34,1267813421
10,50,35,1109443773
10,50,36,1173401516
10,50,37,1167504576
10,50,38,1295394015
10,50,39,1094268523
10,50,40,1327241126
10,50,41,1321050602
10,50,42,1340299090
10,50,43,1185200954
10,50,44,1346581754
10,50,45,1302373519
10,50,46,1221438076
10,50,47,1236922718
10,50,48,1326913897
10,50,49,1237968435
10,50,50,1197077458
10,50,51,1174234124
10,50,52,1355148438
10,50,53,1443825736
10,50,54,1425338567
10,50,55,1273717814
10,50,56,1268685722
10,50,57,1656207568
10,50,58,1400731548
10,50,59,1233350752
10,50,60,1354993236
10,50,61,1216530045
10,50,62,1310901359
10,50,63,1189905991
10,50,64,1245504188
10,50,65,1281424994
10,50,66,1455343247
10,50,67,1170092282
10,50,68,1263163478
10,50,69,1289381409
10,50,70,1263956998
10,50,71,1145984176
10,50,72,1256001881
10,50,73,1148237272
10,50,74,1186330918
10,50,75,1157305952
10,50,76,1303663903
10,50,77,1070996124
10,50,78,1414697945
10,50,79,1759472741
10,50,80,1760945178
10,50,81,1934714088
10,50,82,2080574619
10,50,83,1180889758
10,50,84,1348630719
10,50,85,1300780894
10,50,86,1258702553
10,50,87,1270675315
10,50,88,1261065362
10,50,89,1153807389
10,50,90,1279349839
10,50,91,1185965475
10,50,92,1216609365
10,50,93,1215200072
10,50,94,1186693508
10,50,95,1176503623
10,50,96,1297356479
10,50,97,1104346481
10,50,98,1225178693
10,50,99,1182813853
10,100,0,2670676561
10,100,1,2401936809
10,100,2,2467511303
10,100,3,2570648507
10,100,4,2424425741
10,100,5,2442883174
10,100,6,2376114619
10,100,7,2452950411
10,100,8,3294971139
10,100,9,2867050389
10,100,10,2888903926
10,100,11,2607485876
10,100,12,2688598569
10,100,13,2958470547
10,100,14,2866930336
10,100,15,2588551584
10,100,16,2483095586
10,100,17,2817595129
10,100,18,2563269163
10,100,19,2774052715
10,100,20,2727718943
10,100,21,2493903730
10,100,22,2937531677
10,100,23,2896867726
10,100,24,2759330437
10,100,25,2822719056
10,100,26,2609380983
10,100,27,3570261076
10,100,28,3370900083
10,100,29,3358974010
10,100,30,2907260790
10,100,31,2902016053
10,100,32,2520208213
10,100,33,2466860775
10,100,34,2525116131
10,100,35,2515091490
10,100,36,2440939760
10,100,37,2677192348
10,100,38,2495121414
10,100,39,2466297420
10,100,40,2604754412
10,100,41,2604296433
10,100,42,3502249654
10,100,43,3020919562
10,100,44,2555036075
10,100,45,2494283565
10,100,46,2985911035
10,100,47,3338531016
10,100,48,2809202855
10,100,49,2667114757
10,100,50,2555454208
10,100,51,2561431525
10,100,52,2810846232
10,100,53,2537591183
10,100,54,2552095092
10,100,55,2654320951
10,100,56,2449733577
10,100,57,2512464356
10,100,58,2589700385
10,100,59,2362308401
10,100,60,2927320014
