size,msg,repetition,time
10,1,0,1635665
10,1,1,1541141
10,1,2,1566500
10,1,3,1507139
10,1,4,1503806
10,1,5,1436112
10,1,6,1499578
10,1,7,1564636
10,1,8,1692216
10,1,9,1525039
10,1,10,1538041
10,1,11,1534920
10,1,12,1516578
10,1,13,1622275
10,1,14,1406996
10,1,15,1581878
10,1,16,1530810
10,1,17,1474117
10,1,18,1383217
10,1,19,1639540
10,1,20,1464100
10,1,21,1639015
10,1,22,1664729
10,1,23,1651857
10,1,24,1757073
10,1,25,1400648
10,1,26,1509585
10,1,27,1385341
10,1,28,1401792
10,1,29,1453811
10,1,30,1373624
10,1,31,1540532
10,1,32,1360259
10,1,33,1545335
10,1,34,1476582
10,1,35,1368109
10,1,36,1502249
10,1,37,1472009
10,1,38,1522185
10,1,39,1483886
10,1,40,1404389
10,1,41,1526161
10,1,42,1383917
10,1,43,1632680
10,1,44,1627096
10,1,45,1500973
10,1,46,1531240
10,1,47,1507148
10,1,48,1462896
10,1,49,1864305
10,1,50,1617183
10,1,51,1627892
10,1,52,1403007
10,1,53,1522073
10,1,54,1515321
10,1,55,1397430
10,1,56,1400122
10,1,57,1382179
10,1,58,1376396
10,1,59,1360844
10,1,60,1370330
10,1,61,1372354
10,1,62,1363678
10,1,63,1403774
10,1,64,1385488
10,1,65,1529060
10,1,66,1375107
10,1,67,1406982
10,1,68,1384484
10,1,69,1378102
10,1,70,1551917
10,1,71,1504212
10,1,72,1382319
10,1,73,1408845
10,1,74,1391854
10,1,75,1404520
10,1,76,1381117
10,1,77,1403321
10,1,78,1392167
10,1,79,1401702
10,1,80,1397389
10,1,81,1477357
10,1,82,1379564
10,1,83,1427559
10,1,84,1466179
10,1,85,1375413
10,1,86,1377190
10,1,87,1405539
10,1,88,1408624
10,1,89,1429085
10,1,90,1414214
10,1,91,1396100
10,1,92,1390280
10,1,93,1381738
10,1,94,1539912
10,1,95,1374963
10,1,96,1399558
10,1,97,1379201
10,1,98,1727263
10,1,99,1382802
10,10,0,13995110
10,10,1,14777754
10,10,2,14651154
10,10,3,14066948
10,10,4,13932749
10,10,5,14326286
10,10,6,14114956
10,10,7,13892264
10,10,8,14198100
10,10,9,14047523
10,10,10,14133509
10,10,11,14685929
10,10,12,14618015
10,10,13,14167562
10,10,14,14130025
10,10,15,14461734
10,10,16,13797902
10,10,17,13929558
10,10,18,14032903
10,10,19,14486239
10,10,20,16294148
10,10,21,15503603
10,10,22,15423667
10,10,23,16322714
10,10,24,15741964
10,10,25,15805628
10,10,26,20600903
10,10,27,21704434
10,10,28,15582189
10,10,29,16077936
10,10,30,15440480
10,10,31,14642151
10,10,32,15379647
10,10,33,16167936
10,10,34,15746580
10,10,35,15847555
10,10,36,15869897
10,10,37,14893430
10,10,38,15871799
10,10,39,15820092
10,10,40,16724077
10,10,41,15480253
10,10,42,15425907
10,10,43,15495379
10,10,44,15430949
10,10,45,14845762
10,10,46,14997782
10,10,47,14679543
10,10,48,14330212
10,10,49,16093855
10,10,50,16251598
10,10,51,15729569
10,10,52,14020413
10,10,53,14896498
10,10,54,16573246
10,10,55,21497871
10,10,56,17382757
10,10,57,15924611
10,10,58,15854536
10,10,59,15114341
10,10,60,16244071
10,10,61,16092838
10,10,62,15983330
10,10,63,17015199
10,10,64,15292634
10,10,65,15940459
10,10,66,14454766
10,10,67,15035993
10,10,68,15791572
10,10,69,16305052
10,10,70,17096802
10,10,71,16146006
10,10,72,14462757
10,10,73,14501172
10,10,74,14717379
10,10,75,15657425
10,10,76,16431531
10,10,77,16120659
10,10,78,16099851
10,10,79,16698932
10,10,80,15667858
10,10,81,17060719
10,10,82,16079504
10,10,83,15708968
10,10,84,14423904
10,10,85,15335667
10,10,86,15961610
10,10,87,13789533
10,10,88,14236481
10,10,89,13884086
10,10,90,13946891
10,10,91,14726763
10,10,92,15004851
10,10,93,15429109
10,10,94,15019902
10,10,95,14462944
10,10,96,14142016
10,10,97,14932990
10,10,98,15436621
10,10,99,14965318
10,25,0,40113416
10,25,1,39262635
10,25,2,39013054
10,25,3,37849080
10,25,4,39650176
10,25,5,39450744
10,25,6,39154482
10,25,7,39919680
10,25,8,38989276
10,25,9,39392948
10,25,10,37689444
10,25,11,37818593
10,25,12,38943185
10,25,13,38862131
10,25,14,39643450
10,25,15,36774543
10,25,16,37415313
