,size,time
swap_time,8192,26549270
swap_time,8192,28605895
swap_time,8192,51336847
swap_time,16384,25871402
swap_time,16384,66825696
swap_time,16384,29594888
swap_time,16384,34556860
swap_time,16384,36233993
swap_time,16384,35883578
swap_time,16384,43841793
swap_time,16384,81994464
swap_time,16384,63440343
swap_time,16384,72332978
swap_time,16384,32817144
swap_time,16384,29427686
swap_time,16384,28226474
swap_time,16384,49673776
swap_time,16384,26033444
swap_time,16384,32487336
swap_time,16384,81167189
swap_time,16384,31966317
swap_time,16384,27625883
swap_time,16384,31001551
swap_time,16384,49849187
swap_time,16384,33469615
swap_time,16384,52447418
swap_time,16384,29527358
swap_time,16384,52372558
swap_time,16384,31267466
swap_time,16384,33240235
swap_time,16384,32991796
swap_time,16384,30894397
swap_time,16384,58783623
swap_time,16384,32384188
swap_time,16384,69658304
swap_time,16384,63894307
swap_time,16384,56765337
swap_time,16384,29351953
swap_time,16384,31931186
swap_time,16384,96223899
swap_time,16384,50004435
swap_time,16384,31866246
swap_time,16384,96154249
swap_time,16384,69847233
swap_time,16384,29014758
swap_time,16384,245614668
swap_time,16384,86125331
swap_time,16384,70408571
swap_time,16384,30481327
swap_time,16384,31208206
swap_time,16384,76038317
swap_time,16384,62251438
swap_time,16384,81684471
swap_time,16384,30591034
swap_time,16384,33681527
swap_time,32768,58266015
swap_time,32768,45759331
swap_time,32768,81765473
swap_time,32768,26052067
swap_time,32768,69612931
swap_time,32768,54636753
swap_time,32768,40635997
swap_time,32768,50742847
swap_time,32768,25380842
swap_time,32768,25324335
swap_time,32768,23814463
swap_time,32768,57435393
swap_time,32768,23616436
swap_time,32768,48051734
swap_time,32768,81257352
swap_time,32768,51162109
swap_time,32768,55244241
swap_time,32768,37683767
swap_time,32768,46548046
swap_time,32768,35776086
swap_time,32768,52645416
swap_time,32768,28644739
swap_time,32768,29740058
swap_time,32768,125712154
swap_time,32768,75771225
swap_time,32768,25942040
swap_time,32768,29100484
swap_time,32768,69127486
swap_time,32768,24841278
swap_time,32768,23686436
swap_time,32768,53864901
swap_time,32768,72208177
swap_time,32768,26193425
swap_time,32768,74017561
swap_time,32768,46756703
swap_time,32768,28169028
swap_time,32768,62492761
swap_time,32768,71010066
swap_time,32768,45567684
swap_time,32768,50500614
swap_time,32768,49526466
swap_time,32768,83315378
swap_time,32768,24980761
swap_time,32768,25670457
swap_time,32768,22776155
swap_time,32768,26212318
swap_time,32768,106228837
swap_time,32768,25024392
swap_time,32768,55085633
swap_time,32768,49270378
swap_time,32768,53418284
swap_time,32768,57491241
swap_time,65536,41992927
swap_time,65536,65430450
swap_time,65536,28341415
swap_time,65536,64339638
swap_time,65536,52219398
swap_time,65536,28018651
swap_time,65536,27724446
swap_time,65536,24139025
swap_time,65536,57770061
swap_time,65536,84210925
swap_time,65536,43581878
swap_time,65536,26023429
swap_time,65536,28504359
swap_time,65536,63607322
swap_time,65536,61529268
swap_time,65536,38271232
swap_time,65536,64165549
swap_time,65536,25603255
swap_time,65536,46785197
swap_time,65536,66686360
swap_time,65536,24832056
swap_time,65536,25782167
swap_time,65536,69195252
swap_time,65536,27191695
swap_time,65536,42109964
swap_time,65536,48712565
swap_time,65536,48376583
swap_time,65536,26762352
swap_time,65536,63200765
swap_time,65536,54889298
swap_time,65536,29563776
swap_time,65536,67845409
swap_time,65536,53630829
swap_time,65536,51987616
swap_time,65536,65023476
swap_time,65536,65055164
swap_time,65536,90076840
swap_time,65536,62256276
swap_time,65536,80671484
swap_time,65536,54241361
swap_time,65536,69617197
swap_time,65536,96485435
swap_time,65536,28327788
swap_time,65536,66800698
swap_time,65536,26268645
swap_time,65536,72414583
swap_time,65536,30373805
swap_time,65536,47156843
swap_time,65536,67567416
swap_time,65536,27546586
swap_time,65536,34876387
swap_time,65536,65787347
swap_time,131072,51011737
swap_time,131072,41816769
swap_time,131072,56413853
swap_time,131072,28895842
swap_time,131072,101830826
swap_time,131072,111160528
swap_time,131072,30978201
swap_time,131072,69215365
swap_time,131072,32554846
swap_time,131072,25932368
swap_time,131072,65358464
swap_time,131072,99342012
swap_time,131072,44869258
swap_time,131072,61795316
swap_time,131072,66615741
swap_time,131072,69307256
swap_time,131072,28402628
swap_time,131072,26130776
swap_time,131072,32524965
swap_time,131072,78575526
swap_time,131072,147922444
swap_time,131072,80264747
swap_time,131072,69649044
swap_time,131072,66661477
swap_time,131072,31088490
swap_time,131072,24287474
swap_time,131072,57476540
swap_time,131072,28195217
swap_time,131072,26097447
swap_time,131072,96641345
swap_time,131072,29606611
swap_time,131072,39770143
swap_time,131072,40607593
swap_time,131072,79563368
swap_time,131072,27477183
swap_time,131072,29651465
swap_time,131072,66077802
swap_time,131072,46439854
swap_time,131072,33523570
swap_time,131072,85964695
swap_time,131072,81238741
swap_time,131072,54566345
swap_time,131072,39826697
swap_time,131072,31855659
swap_time,131072,30614939
swap_time,131072,24819917
swap_time,131072,111468301
swap_time,131072,31895776
swap_time,131072,54781371
swap_time,131072,72558861
swap_time,131072,29397398
swap_time,131072,56906140
swap_time,262144,125405279
swap_time,262144,98749153
swap_time,262144,76453703
swap_time,262144,281035273
swap_time,262144,122281243
swap_time,262144,141899358
swap_time,262144,302201772
swap_time,262144,90444768
swap_time,262144,85287065
swap_time,262144,100868795
swap_time,262144,101523001
swap_time,262144,38291153
swap_time,262144,106919556
swap_time,262144,101723761
swap_time,262144,98723704
swap_time,262144,98905097
swap_time,262144,74607140
swap_time,262144,68971822
swap_time,262144,100792210
swap_time,262144,83792426
swap_time,262144,79046663
swap_time,262144,65258678
swap_time,262144,92689686
swap_time,262144,106913974
swap_time,262144,111121793
swap_time,262144,85000352
swap_time,262144,96859039
swap_time,262144,68507475
swap_time,262144,155902218
swap_time,262144,82724537
swap_time,262144,89801027
swap_time,262144,112576714
swap_time,262144,81798538
swap_time,262144,77963141
swap_time,262144,104836733
swap_time,262144,115099498
swap_time,262144,194977985
swap_time,262144,107301473
swap_time,262144,80546381
swap_time,262144,115720449
swap_time,262144,84179367
swap_time,262144,98033784
swap_time,262144,137850570
swap_time,262144,96696971
swap_time,262144,33944717
swap_time,262144,96332092
swap_time,262144,97403099
swap_time,262144,99936841
swap_time,262144,92009384
swap_time,262144,86274838
swap_time,262144,102458012
swap_time,262144,103690479
swap_time,524288,112790313
swap_time,524288,182844918
swap_time,524288,88305804
swap_time,524288,155801749
swap_time,524288,60336158
swap_time,524288,80053487
swap_time,524288,86369294
swap_time,524288,55720095
swap_time,524288,98751907
swap_time,524288,81624816
swap_time,524288,98405307
swap_time,524288,265061348
swap_time,524288,32982626
swap_time,524288,110221541
swap_time,524288,143591334
swap_time,524288,71938916
swap_time,524288,94508821
swap_time,524288,83505353
swap_time,524288,87507989
swap_time,524288,126271872
swap_time,524288,38180639
swap_time,524288,117881421
swap_time,524288,93767869
swap_time,524288,118003896
swap_time,524288,105485297
swap_time,524288,122609914
swap_time,524288,40001434
swap_time,524288,95642816
swap_time,524288,82059649
swap_time,524288,104657073
swap_time,524288,117983003
swap_time,524288,104409689
swap_time,524288,68897530
swap_time,524288,91022886
swap_time,524288,33034897
swap_time,524288,148640891
swap_time,524288,107448558
swap_time,524288,81061231
swap_time,524288,81012211
swap_time,524288,105145842
swap_time,524288,102516875
swap_time,524288,79577650
swap_time,524288,41044776
swap_time,524288,97996073
swap_time,524288,192593207
swap_time,524288,113326221
swap_time,524288,135112107
swap_time,524288,95613330
swap_time,524288,199463469
swap_time,524288,90420571
swap_time,524288,100101564
swap_time,524288,130308157
swap_time,1048576,88813705
swap_time,1048576,98646783
swap_time,1048576,113031733
swap_time,1048576,79002664
swap_time,1048576,86829888
swap_time,1048576,106388997
swap_time,1048576,42267599
swap_time,1048576,44153527
swap_time,1048576,114635329
swap_time,1048576,100678439
swap_time,1048576,106095607
swap_time,1048576,116669987
swap_time,1048576,71305859
swap_time,1048576,137141385
swap_time,1048576,79055398
swap_time,1048576,186996397
swap_time,1048576,88774008
swap_time,1048576,98632592
swap_time,1048576,157568777
swap_time,1048576,107773163
swap_time,1048576,100493980
swap_time,1048576,97239287
swap_time,1048576,74729019
swap_time,1048576,84667484
swap_time,1048576,96458788
swap_time,1048576,41714217
swap_time,1048576,110661660
swap_time,1048576,94791087
swap_time,1048576,99980064
swap_time,1048576,97272434
swap_time,1048576,93088006
swap_time,1048576,129506507
swap_time,1048576,97081911
swap_time,1048576,81014022
swap_time,1048576,102576636
swap_time,1048576,109919355
swap_time,1048576,123405900
swap_time,1048576,259766393
swap_time,1048576,64643203
swap_time,1048576,115456733
swap_time,1048576,72598815
swap_time,1048576,90036917
swap_time,1048576,100304884
swap_time,1048576,101951157
swap_time,1048576,213721177
swap_time,1048576,105749358
swap_time,1048576,121934307
swap_time,1048576,111960333
swap_time,1048576,120494130
swap_time,1048576,106748462
swap_time,1048576,132141184
swap_time,1048576,113023987
swap_time,2097152,61025678
swap_time,2097152,95463356
swap_time,2097152,154475346
swap_time,2097152,61784558
swap_time,2097152,119550613
swap_time,2097152,67015127
swap_time,2097152,90668911
swap_time,2097152,147385792
swap_time,2097152,97335062
swap_time,2097152,93464336
swap_time,2097152,107070981
swap_time,2097152,123376598
swap_time,2097152,89358330
swap_time,2097152,127600952
swap_time,2097152,241365310
swap_time,2097152,87208410
swap_time,2097152,110619261
swap_time,2097152,84720261
swap_time,2097152,139913446
swap_time,2097152,84307332
swap_time,2097152,77840571
swap_time,2097152,97314178
swap_time,2097152,131723412
swap_time,2097152,100011284
swap_time,2097152,70931325
swap_time,2097152,95870009
swap_time,2097152,104954541
swap_time,2097152,108644782
swap_time,2097152,82703048
swap_time,2097152,99632086
swap_time,2097152,87609997
swap_time,2097152,89383027
swap_time,2097152,98375300
swap_time,2097152,101157912
swap_time,2097152,108553363
swap_time,2097152,123230393
swap_time,2097152,88967699
swap_time,2097152,130208276
swap_time,2097152,45099597
swap_time,2097152,121991857
swap_time,2097152,63708756
swap_time,2097152,116152644
swap_time,2097152,113983233
swap_time,2097152,115862410
swap_time,2097152,133862848
swap_time,2097152,97221115
swap_time,2097152,134246575
swap_time,2097152,116631469
swap_time,2097152,154512213
swap_time,2097152,105218475
swap_time,2097152,97512606
swap_time,2097152,101440190
swap_time,4194304,174724080
swap_time,4194304,184397754
swap_time,4194304,141557514
swap_time,4194304,187928266
swap_time,4194304,139133968
swap_time,4194304,137251150
swap_time,4194304,140279155
swap_time,4194304,149727223
swap_time,4194304,73158102
swap_time,4194304,199533853
swap_time,4194304,132106585
swap_time,4194304,117097249
swap_time,4194304,138445256
swap_time,4194304,134342454
swap_time,4194304,73618905
swap_time,4194304,132609415
swap_time,4194304,77591992
swap_time,4194304,131748518
swap_time,4194304,172546986
swap_time,4194304,128553667
swap_time,4194304,134493775
swap_time,4194304,103138005
swap_time,4194304,123154309
swap_time,4194304,161558539
swap_time,4194304,140113517
swap_time,4194304,179804959
swap_time,4194304,201241173
swap_time,4194304,167538787
