,size,time
swap_time,4096,146622
swap_time,4096,147008
swap_time,4096,167120
swap_time,4096,157566
swap_time,4096,162763
swap_time,4096,165846
swap_time,4096,147932
swap_time,4096,179509
swap_time,4096,173549
swap_time,4096,159339
swap_time,4096,159412
swap_time,4096,138412
swap_time,4096,155923
swap_time,4096,153272
swap_time,4096,189555
swap_time,4096,165663
swap_time,4096,182793
swap_time,4096,128463
swap_time,4096,144392
swap_time,4096,163062
swap_time,4096,180784
swap_time,4096,154411
swap_time,4096,149726
swap_time,4096,136770
swap_time,4096,197395
swap_time,4096,173566
swap_time,4096,210932
swap_time,4096,170774
swap_time,4096,194239
swap_time,4096,179703
swap_time,4096,183869
swap_time,4096,174007
swap_time,4096,165008
swap_time,4096,162332
swap_time,4096,150042
swap_time,4096,164196
swap_time,4096,163926
swap_time,4096,160005
swap_time,4096,155122
swap_time,4096,148878
swap_time,4096,166562
swap_time,4096,165149
swap_time,4096,158178
swap_time,4096,155631
swap_time,4096,167740
swap_time,4096,175063
swap_time,4096,186666
swap_time,4096,174576
swap_time,4096,184959
swap_time,4096,189275
swap_time,4096,159899
swap_time,4096,148067
swap_time,8192,146593
swap_time,8192,165252
swap_time,8192,154116
swap_time,8192,157344
swap_time,8192,194316
swap_time,8192,171621
swap_time,8192,152767
swap_time,8192,168379
swap_time,8192,168870
swap_time,8192,174416
swap_time,8192,173550
swap_time,8192,166637
swap_time,8192,176629
swap_time,8192,167001
swap_time,8192,157041
swap_time,8192,162979
swap_time,8192,155674
swap_time,8192,186187
swap_time,8192,168175
swap_time,8192,159159
swap_time,8192,198472
swap_time,8192,167866
swap_time,8192,167315
swap_time,8192,194401
swap_time,8192,164064
swap_time,8192,172456
swap_time,8192,207394
swap_time,8192,224164
swap_time,8192,179092
swap_time,8192,157410
swap_time,8192,184695
swap_time,8192,223883
swap_time,8192,218895
swap_time,8192,161013
swap_time,8192,147780
swap_time,8192,162064
swap_time,8192,189715
swap_time,8192,174895
swap_time,8192,165138
swap_time,8192,147105
swap_time,8192,167919
swap_time,8192,184453
swap_time,8192,159064
swap_time,8192,176145
swap_time,8192,193876
swap_time,8192,161667
swap_time,8192,152382
swap_time,8192,173527
swap_time,8192,184457
swap_time,8192,177179
swap_time,8192,170444
swap_time,8192,183005
swap_time,16384,155465
swap_time,16384,210442
swap_time,16384,183473
swap_time,16384,188711
swap_time,16384,196940
swap_time,16384,179522
swap_time,16384,205385
swap_time,16384,168636
swap_time,16384,214865
swap_time,16384,191139
swap_time,16384,163138
swap_time,16384,188827
swap_time,16384,179635
swap_time,16384,206260
swap_time,16384,221101
swap_time,16384,232693
swap_time,16384,194268
swap_time,16384,211463
swap_time,16384,194939
swap_time,16384,175026
swap_time,16384,199047
swap_time,16384,174593
swap_time,16384,191720
swap_time,16384,185460
swap_time,16384,183028
swap_time,16384,170710
swap_time,16384,179679
swap_time,16384,162985
swap_time,16384,185674
swap_time,16384,169201
swap_time,16384,194973
swap_time,16384,188416
swap_time,16384,176417
swap_time,16384,206966
swap_time,16384,182991
swap_time,16384,187933
swap_time,16384,206338
swap_time,16384,193574
swap_time,16384,195769
swap_time,16384,195857
swap_time,16384,179401
swap_time,16384,177099
swap_time,16384,184399
swap_time,16384,178817
swap_time,16384,178824
swap_time,16384,206708
swap_time,16384,221306
swap_time,16384,178776
swap_time,16384,166220
swap_time,16384,184341
swap_time,16384,204541
swap_time,16384,185106
swap_time,32768,179824
swap_time,32768,197402
swap_time,32768,192032
swap_time,32768,258316
swap_time,32768,213849
swap_time,32768,228426
swap_time,32768,244750
swap_time,32768,207152
swap_time,32768,245117
swap_time,32768,217080
swap_time,32768,203199
swap_time,32768,241041
swap_time,32768,250738
swap_time,32768,205773
